fraction,seed,auroc,ece,f1,brier
0.01,42,0.44464659239233667,0.22030111792797796,0.3334282633902236,0.2991913594301605
0.01,123,0.558528186261211,0.22659094144249642,0.3334282633902236,0.30050412299035334
0.01,456,0.5107151792386315,0.22767474233123156,0.3334282633902236,0.3016747081283778
0.05,42,0.4483273959459454,0.25119575924413656,0.3334282633902236,0.3135844749732529
0.05,123,0.52718010854656,0.23304939429930788,0.3334282633902236,0.30401474014995233
0.05,456,0.5696913336026496,0.22989728192149012,0.3334282633902236,0.3009928788544045
0.1,42,0.4577639416993899,0.3141215450847586,0.33341470360877173,0.3500658488427417
0.1,123,0.5121534023266908,0.2790515503133657,0.3334282633902236,0.3285193953754388
0.1,456,0.5473064177409354,0.2651346480764263,0.3334282633902236,0.3193485726345667
0.25,42,0.5606544184389208,0.37464658622426195,0.3334282633902236,0.3880061687169168
0.25,123,0.5421250669811974,0.3608919741309084,0.3334282633902236,0.3785599475078653
0.25,456,0.5598970109036324,0.33199020530989226,0.33341470360877173,0.3574252540227799
0.5,42,0.5805831605515438,0.4093012832377468,0.3334282633902236,0.4140836702581719
0.5,123,0.5525697882321463,0.3765814793741968,0.33341470360877173,0.3899329527672308
0.5,456,0.5703431999192268,0.4000036195483939,0.33341470360877173,0.40705928022160365
1.0,42,0.5893857809897634,0.43901391056667327,0.3334282633902236,0.4389767229003013
1.0,123,0.5893857809897634,0.4390139105667181,0.3334282633902236,0.4389767229003436
1.0,456,0.5893857809897634,0.4390139105667235,0.3334282633902236,0.43897672290034884
