fraction,seed,temperature,ece_raw,ece_scaled,ece_improvement
0.01,42,1.714097542303521,0.09197572612919583,0.04621345035198984,0.045762275777205985
0.01,123,1.6258139096556727,0.08622981683549276,0.036092104749309205,0.050137712086183554
0.01,456,2.2113501235983075,0.1479541249137316,0.04326677675397068,0.10468734815976094
0.05,42,2.10146628032506,0.10420201908652675,0.06098264877333807,0.04321937031318868
0.05,123,2.3019303100494595,0.1347094553789532,0.031076656280204836,0.10363279909874837
0.05,456,2.1562112827011695,0.11867519768828175,0.04398213771218102,0.07469305997610073
0.1,42,2.4251825026270883,0.128873825981575,0.06416541394457213,0.06470841203700288
0.1,123,2.5638790849566315,0.14231138808830307,0.03547008512394111,0.10684130296436195
0.1,456,2.5668590925085484,0.1349705853452126,0.03792099545406657,0.09704958989114604
0.25,42,2.600088393743244,0.1432604117992999,0.04796914865456491,0.09529126314473499
0.25,123,2.7909713324664915,0.14368873517334668,0.05847076604789405,0.08521796912545263
0.25,456,2.6469708780517927,0.13799537548796686,0.08374835553826733,0.054247019949699535
0.5,42,2.796613706795086,0.136358734921581,0.06167014810430736,0.07468858681727363
0.5,123,3.085742624429437,0.16145696047743915,0.03630848934785031,0.12514847112958885
0.5,456,2.8472696663825157,0.1424425375114544,0.04210345976462599,0.1003390777468284
1.0,42,3.027239370963371,0.1506645298454751,0.0415217742929374,0.10914275555253769
1.0,123,3.0226121548139675,0.15059388172423793,0.041019973411052256,0.10957390831318567
1.0,456,3.022445082701846,0.1505911888376763,0.04101863753307668,0.10957255130459963
