fraction,seed,auroc,ece,f1,brier
0.01,42,0.46900774356203856,0.21099076250930843,0.4364489916214054,0.2990865014179929
0.01,123,0.4588060507833604,0.20485426381065866,0.4541230018669683,0.2968137930665108
0.01,456,0.4331847649918963,0.2031206320558767,0.4523686044014186,0.2983728389278656
0.05,42,0.46377183504412034,0.19534424996087804,0.4695864751170728,0.30243373648680416
0.05,123,0.46606338915901313,0.2042192625641333,0.4664916719375922,0.30800625611940124
0.05,456,0.4571132721051684,0.20445467220974234,0.45946751102258987,0.30522291458243517
0.1,42,0.4734152710246713,0.21787292395172658,0.4793843232367597,0.30722127065251514
0.1,123,0.47427966864757787,0.2214691917472758,0.47839159267168707,0.3069845181718743
0.1,456,0.47282099765892316,0.19595123505417628,0.46560844193540807,0.2946577731749751
0.25,42,0.465343057806591,0.23057029368137666,0.44841213832039517,0.3074637865659516
0.25,123,0.47687286151629754,0.22200919656374693,0.46163257681890346,0.30169499048397497
0.25,456,0.4641320007203314,0.23709564591310164,0.4492824168388362,0.3069077278312223
0.5,42,0.46674320187286156,0.25697984871772733,0.4381872099020113,0.3144644694932961
0.5,123,0.46524851431658565,0.2619266818842062,0.43748455585098495,0.3153726426977941
0.5,456,0.4699486763911399,0.24877953910794462,0.45775607699873544,0.31739856309829445
1.0,42,0.48394111291193953,0.2518248967674264,0.46580935609395857,0.31725687140405123
1.0,123,0.48394111291193953,0.2518253137684374,0.46580935609395857,0.3172572929710217
1.0,456,0.48394111291193953,0.25182515246988424,0.46580935609395857,0.31725712987037763
