fraction,seed,temperature,ece_raw,ece_scaled,ece_improvement
0.01,42,0.30315327744423776,0.22239991870903708,0.006748949799789628,0.21565096890924745
0.01,123,0.36737214021208286,0.19415856115040472,0.01819027399478565,0.17596828715561907
0.01,456,0.29229937399972855,0.22963122184746215,0.004364556994884661,0.2252666648525775
0.05,42,0.17782869119477035,0.2819234351011694,0.06537372901102885,0.21654970609014057
0.05,123,0.396922038421477,0.19061656188499945,0.04013859067560327,0.15047797120939618
0.05,456,0.3866701560011661,0.19414880317188482,0.04348985484381799,0.15065894832806684
0.1,42,0.2688505872213589,0.2543675218849692,0.09273464455672879,0.1616328773282404
0.1,123,0.4251509291717676,0.18425457015525226,0.05406870382434393,0.13018586633090834
0.1,456,0.47634485133895255,0.16821218406158508,0.05874690074781924,0.10946528331376584
0.25,42,0.43477788496235253,0.2332025848033097,0.15428995951214222,0.07891262529116747
0.25,123,0.46078287036440035,0.18067434294848933,0.08052822738946734,0.10014611555902199
0.25,456,0.5738907619117602,0.18353307483498002,0.12850213520182505,0.055030939633154974
0.5,42,0.5889512395345194,0.19792878711833783,0.149792866344101,0.04813592077423684
0.5,123,0.5709974852780562,0.19939229180463514,0.1391199034900129,0.06027238831462223
0.5,456,0.6530567353414476,0.18553780546946896,0.13521866571665833,0.05031913975281063
1.0,42,0.92515305940977,0.2195647850824429,0.2117920080739524,0.007772777008490495
1.0,123,0.9251530593947838,0.21956478508244134,0.21179200807232393,0.007772777010117415
1.0,456,0.9251530594097259,0.21956478508244234,0.21179200807394702,0.007772777008495324
