fraction,seed,temperature,ece_raw,ece_scaled,ece_improvement
0.01,42,0.3183012809230654,0.21540473281568098,0.005342854259079482,0.2100618785566015
0.01,123,0.3060819214412669,0.21682180182678187,0.0317076244447341,0.18511417738204777
0.01,456,0.33520450230101456,0.21218715828213391,0.036885341621542764,0.17530181666059114
0.05,42,0.23406605007476675,0.27448481086551213,0.11527863155641269,0.15920617930909944
0.05,123,0.28685338242978486,0.24160211388324696,0.0941669474035109,0.14743516647973604
0.05,456,0.36819425291085905,0.2556147392643082,0.16476529276900662,0.0908494464953016
0.1,42,0.5379535204040414,0.31023151706413515,0.27473667095631554,0.03549484610781961
0.1,123,0.6098459422088296,0.2797173840015053,0.24116042060209691,0.038556963399408395
0.1,456,0.43247025964260316,0.2546946912404267,0.1760663909561056,0.0786283002843211
0.25,42,1.3609935482929496,0.3159799205878627,0.3257048669307508,-0.009724946342888119
0.25,123,0.7913038634292732,0.2757161513028602,0.2598346718780242,0.015881479424835976
0.25,456,1.0288576006777486,0.27630011066726473,0.2780899485823162,-0.0017898379150514954
0.5,42,1.3614621055492442,0.2955530079825394,0.30868627083817574,-0.013133262855636318
0.5,123,1.3747675012958893,0.29323591527264964,0.3070082017255852,-0.013772286452935545
0.5,456,1.4330461222012887,0.291252572358891,0.3072368913904367,-0.01598431903154568
1.0,42,1.8219335428548487,0.29992016329650767,0.32028388389916634,-0.020363720602658675
1.0,123,1.8219335427588408,0.29992016329646976,0.3202838838974879,-0.020363720601018154
1.0,456,1.82193354285291,0.29992016329647003,0.32028388389911,-0.020363720602639968
