fraction,seed,auroc,ece,f1,brier
0.01,42,0.5548262200612282,0.09647326393356362,0.4314517509328039,0.2412050710158126
0.01,123,0.5653250495227805,0.1415468381305649,0.39188599705164784,0.2514950396916481
0.01,456,0.5754727174500269,0.07632548132801634,0.4114059432748934,0.23523659911485675
0.05,42,0.5577480641094903,0.17394858417428172,0.3977926923281636,0.2629324795098778
0.05,123,0.5964973887988474,0.1413907616981224,0.42453943098180746,0.2476775098991311
0.05,456,0.5621916081397442,0.14441951902670128,0.41095376820772644,0.25367983386585563
0.1,42,0.5746578426075996,0.20134808472880297,0.3973765009046549,0.2715253334899991
0.1,123,0.6167522060147668,0.14576365525594934,0.43938946816184665,0.24594596921678868
0.1,456,0.5740275526742301,0.1451851608842603,0.4243558346828876,0.25262685285687375
0.25,42,0.5979200432198811,0.1500303080213942,0.44674388674388676,0.2511924631693455
0.25,123,0.6157257338375652,0.11883196911146221,0.47345083965164564,0.2379067686189653
0.25,456,0.5787097064649739,0.11016410882215441,0.4656674778162869,0.24474526262566
0.5,42,0.6017468035296236,0.110213796399371,0.48821372446306965,0.24119606865732765
0.5,123,0.596663965424095,0.1489749336363447,0.4530908758335659,0.2497125665273308
0.5,456,0.5771339816315505,0.1153371639374291,0.4758897810208309,0.24561701566241675
1.0,42,0.584508373851972,0.12259262157636686,0.5319250871080139,0.24530915230328856
1.0,123,0.584508373851972,0.12259262157635076,0.5319250871080139,0.24530915230328676
1.0,456,0.584508373851972,0.12259262157626857,0.5319250871080139,0.24530915230330386
