model,dataset,fraction,seed,temperature,ece_raw,ece_scaled,ece_improvement,auroc,brier_raw,brier_scaled
PLIP,SPIDER-Breast,0.01,42,0.3369690632917258,0.3504504953259932,0.02069878301409686,0.32975171231189637,0.9510120181214357,0.038734957722992,0.029293848897062033
PLIP,SPIDER-Breast,0.01,123,0.33399897477956675,0.3064527624810152,0.04935004447027519,0.25710271801074003,0.950504712627614,0.03955684775820574,0.03238236707613955
PLIP,SPIDER-Breast,0.01,456,0.3273846528151236,0.2889244223007677,0.06186576462711105,0.22705865767365666,0.9489587688132028,0.04030923793056403,0.034112333127842814
PLIP,SPIDER-Breast,0.05,42,0.4402284253406965,0.2552027710289826,0.02618358447905116,0.22901918654993142,0.9664870258824357,0.026598328866896462,0.021771575069990494
PLIP,SPIDER-Breast,0.05,123,0.43111904180269617,0.26197630908645214,0.02961130837321809,0.23236500071323404,0.9664919564523129,0.027081963293318842,0.022243459586336337
PLIP,SPIDER-Breast,0.05,456,0.4237700332551067,0.263629349435749,0.02623784230027422,0.2373915071354748,0.9647647205586038,0.0271962488218993,0.022209547682038613
PLIP,SPIDER-Breast,0.1,42,0.4865612140430925,0.20504391501245955,0.026636890037805082,0.17840702497465447,0.9711412541525617,0.023039016668462295,0.019963539799206394
PLIP,SPIDER-Breast,0.1,123,0.48586859242421426,0.20269403491830668,0.027853854098358968,0.1748401808199477,0.9715895829367732,0.023265461843932578,0.020219937787964843
PLIP,SPIDER-Breast,0.1,456,0.484478105318245,0.20972126919567488,0.023932380986437785,0.18578888820923709,0.9700946119423524,0.02352154382237466,0.020262321492745317
PLIP,SPIDER-Breast,0.25,42,0.553015755126109,0.1402836774139368,0.03199034344523473,0.10829333396870207,0.9759307832104902,0.019988075284285558,0.018517501403637237
PLIP,SPIDER-Breast,0.25,123,0.5569010401897899,0.139222265184144,0.031921940413635566,0.10730032477050842,0.9758734039009069,0.020135196012792025,0.018675331090312573
PLIP,SPIDER-Breast,0.25,456,0.552879832845314,0.14294241963981616,0.02961818564542495,0.1133242339943912,0.9755894853053311,0.020218517050854867,0.018673767899299903
PLIP,SPIDER-Breast,0.5,42,0.5985281818899466,0.10156567692639666,0.03504500742065123,0.06652066950574542,0.9789541162690699,0.01832118241213126,0.017560845491357478
PLIP,SPIDER-Breast,0.5,123,0.6010861890253275,0.10468197268488731,0.03275055377867396,0.07193141890621335,0.9790652797451528,0.018321087732520364,0.017490071126169234
PLIP,SPIDER-Breast,0.5,456,0.600610883791418,0.10486532053496203,0.03321851642389648,0.07164680411106555,0.9788554984805603,0.01824817964231827,0.017426813269665834
PLIP,SPIDER-Breast,1.0,42,0.636533523829654,0.0750710392033887,0.03602155293154105,0.03904948627184765,0.9816574942335892,0.016827411587158267,0.01645040417934163
PLIP,SPIDER-Breast,1.0,123,0.6364923228379916,0.07508852176869878,0.03602377292824649,0.03906474884045229,0.9816591899138145,0.0168267826330247,0.01644913400390269
PLIP,SPIDER-Breast,1.0,456,0.6365089896938927,0.0750813626472748,0.03602309495291335,0.03905826769436145,0.9816583587884671,0.01682698839337544,0.01644957462762352
