fraction,seed,temperature,ece_raw,ece_scaled,ece_improvement
0.01,42,2.301018602461595,0.1194455206265506,0.050250174899548194,0.06919534572700241
0.01,123,2.5766268944430863,0.1469460323644335,0.06633563405701548,0.08061039830741801
0.01,456,3.206506578577545,0.19120304045176864,0.045993327775500095,0.14520971267626853
0.05,42,3.189795101635511,0.1791189738570493,0.04127077149339805,0.13784820236365125
0.05,123,3.6681368083372887,0.22151564558624418,0.027271389845299615,0.19424425574094456
0.05,456,3.630352724402543,0.21757630568413985,0.03162689416907948,0.18594941151506036
0.1,42,3.229573563291371,0.20097299441665356,0.007568431918105184,0.19340456249854837
0.1,123,3.587933816738479,0.22785086969161117,0.005123979305591294,0.22272689038601987
0.1,456,4.325307522854417,0.2660448864726713,0.0037801091627889696,0.26226477730988235
0.25,42,3.143748922680437,0.21450861507644728,0.029660384649516435,0.18484823042693085
0.25,123,3.867373705769191,0.2424085730319297,0.016121005620510807,0.2262875674114189
0.25,456,4.579118303792667,0.2800240312036936,0.01811907513235282,0.2619049560713408
0.5,42,3.4186593018558855,0.23276645152399209,0.03624403038305069,0.1965224211409414
0.5,123,4.018595094426502,0.2546465510645047,0.02140881057449817,0.2332377404900065
0.5,456,4.200043293390792,0.2579231909330348,0.016214074585568526,0.24170911634746625
1.0,42,4.946103915614664,0.2873011074129743,0.018300163802540664,0.26900094361043364
1.0,123,4.946103915615686,0.2873011074136832,0.018300163802323657,0.26900094361135957
1.0,456,4.94610391565024,0.28730110741371834,0.018300163803006777,0.2690009436107116
