fraction,seed,temperature,ece_raw,ece_scaled,ece_improvement
0.01,42,9.999995940728724,0.23698890227538505,0.02555748274717673,0.21143141952820832
0.01,123,9.999995525847266,0.23526885541368703,0.025344566635083443,0.20992428877860358
0.01,456,9.99999606862743,0.22339184656496452,0.023766529675242176,0.19962531688972235
0.05,42,9.99999604310731,0.2820832791724883,0.03177865861517615,0.2503046205573122
0.05,123,9.999995043684942,0.2802089849640244,0.029643835920919848,0.25056514904310456
0.05,456,9.999995966606638,0.2889015971580223,0.03278274005966014,0.2561188570983622
0.1,42,9.99999615115232,0.37076536879483185,0.04705111291407649,0.32371425588075536
0.1,123,9.999995617488844,0.3313155818860095,0.03975969413167135,0.29155588775433816
0.1,456,9.999995884193748,0.3452920558194987,0.04244161517602607,0.3028504406434726
0.25,42,9.999995999837722,0.42185277281033257,0.06218199144666814,0.3596707813636644
0.25,123,9.999995926620137,0.4180481479303455,0.0608073745412433,0.3572407733891022
0.25,456,9.999996050878323,0.42501155885196584,0.06313092926960501,0.36188062958236084
0.5,42,9.999996095167806,0.470209782831256,0.08800992897670595,0.38219985385455
0.5,123,9.999996059173906,0.46553891602932707,0.08903138900436024,0.3765075270249668
0.5,456,9.999996135996886,0.46049557709953165,0.07977064855310054,0.38072492854643114
1.0,42,9.999996197581256,0.48750010857675025,0.1114951680533672,0.37600494052338307
1.0,123,9.999996197581256,0.48750010857581627,0.11149516805142545,0.3760049405243908
1.0,456,9.999996197581256,0.4875001085772419,0.11149516805438942,0.3760049405228525
