fraction,seed,auroc,ece,f1,brier
0.01,42,0.3812928014177769,0.18725998444328382,0.4618254879448909,0.1577430426741481
0.01,123,0.4418513679514199,0.13811603562977223,0.4618254879448909,0.14280859594268666
0.01,456,0.32573671447496927,0.16174986039408495,0.4618254879448909,0.15069741200098422
0.05,42,0.4313673570774357,0.19776474360734114,0.4614583707320576,0.1650994286025522
0.05,123,0.5741480166778039,0.18102783250194635,0.4617675553482364,0.15397724929515316
0.05,456,0.2272315003247709,0.15260420184583143,0.4618254879448909,0.1461702754436989
0.1,42,0.5392680738515025,0.2654632408408413,0.5285754171470798,0.19362142740563662
0.1,123,0.6043275796506493,0.19787361347902516,0.5010503375933184,0.1587870431109385
0.1,456,0.5233067300592998,0.10446387584948884,0.4618254879448909,0.13318553058467344
0.25,42,0.6538322529054146,0.2370659610567104,0.5578416015739995,0.174742347021504
0.25,123,0.6394393452361482,0.19738357259840048,0.5503820666761308,0.15751762601009997
0.25,456,0.48187292053159625,0.12252823436611067,0.4645912438038353,0.14358045803489866
0.5,42,0.6222051302121059,0.222272408110176,0.5378383038428746,0.17289329858454758
0.5,123,0.6471755080094581,0.23076113340542975,0.5631934349649631,0.1735464930761575
0.5,456,0.5824915550802114,0.15986606364852915,0.5125009158925679,0.15028530710077748
1.0,42,0.6221818019061016,0.2178914495758418,0.5436767280326481,0.17437049813246835
1.0,123,0.6221818019061016,0.21789144957584272,0.5436767280326481,0.17437049813246874
1.0,456,0.6221818019061016,0.21789144957585033,0.5436767280326481,0.17437049813247074
