fraction,seed,auroc,ece,f1,brier
0.01,42,0.5483278168035066,0.2193305325381324,0.4618254879448909,0.16944010655978012
0.01,123,0.584096170156591,0.19806383804790284,0.4618254879448909,0.1598653674649439
0.01,456,0.61558222778824,0.28644466662310525,0.4694850741026091,0.20133517025165829
0.05,42,0.7299955942723496,0.3276482379572307,0.5984262631384842,0.21967796905276143
0.05,123,0.6526827405874849,0.24929677487289983,0.5159654346341421,0.17905543584722206
0.05,456,0.4922411660560662,0.24780840830471806,0.48160861471693583,0.1843547111899513
0.1,42,0.6958649318097917,0.33522968869803604,0.5475617288525415,0.22630647118320818
0.1,123,0.5665733266704673,0.2175942367099148,0.511293538858623,0.16928935790812347
0.1,456,0.5253269102487418,0.24438076788411328,0.5227492210019904,0.18351743242323465
0.25,42,0.6068614571699603,0.28352120948615983,0.558855156025011,0.20109925276659382
0.25,123,0.5679221335462646,0.21746803694659597,0.539660694494532,0.17132371914571284
0.25,456,0.505779432655598,0.2520146393072653,0.5053430657060036,0.19494803011570883
0.5,42,0.6165096648551147,0.26558915836569796,0.5481333068329127,0.1952580086695619
0.5,123,0.620660095410216,0.2689720226329455,0.5541273283373216,0.19613038967843585
0.5,456,0.5805134315551153,0.25009687006992926,0.5372720195858796,0.19160471260927497
1.0,42,0.6020277153418039,0.27788407236216245,0.5321394424533439,0.20851003419261002
1.0,123,0.6020277153418039,0.27788407236216317,0.5321394424533439,0.2085100341926103
1.0,456,0.6020277153418039,0.2778840723621641,0.5321394424533439,0.208510034192611
