fraction,seed,auroc,ece,f1,brier
0.01,42,0.4309370745566363,0.2483237131986203,0.3334282633902236,0.31272860649264334
0.01,123,0.6709146494970389,0.1971191054409346,0.3334282633902236,0.28623233167101436
0.01,456,0.397903108959095,0.2034517653443801,0.3334282633902236,0.29280756752719894
0.05,42,0.39779124219630235,0.2721813804467954,0.3334282633902236,0.31419007197841803
0.05,123,0.41546587406779767,0.21219631142313966,0.3334282633902236,0.29868951740905836
0.05,456,0.36695672937065266,0.17591296910148058,0.3334282633902236,0.284978265033307
0.1,42,0.41367298092684174,0.29626687087790926,0.3334282633902236,0.3195737576461791
0.1,123,0.37696394872379857,0.26127585120786084,0.3334282633902236,0.31743156021072594
0.1,456,0.3486319783440491,0.22200269225245114,0.3334282633902236,0.3046511205619974
0.25,42,0.4283661655706992,0.3089348305288196,0.3334282633902236,0.3444799192034774
0.25,123,0.4489408954907353,0.25178869021090816,0.3334282633902236,0.31518476126427375
0.25,456,0.40921662022029753,0.17874796336757706,0.3333740209541247,0.2832360885791358
0.5,42,0.43636044257008166,0.2975357294599378,0.33341470360877173,0.3383384231981794
0.5,123,0.4581921527214925,0.29751500970484573,0.3334282633902236,0.3353749166972084
0.5,456,0.4285748563713132,0.2188845321644109,0.33331976968932475,0.30442335860611125
1.0,42,0.43045908247118825,0.3082356866585919,0.3334011432756271,0.3481428441044817
1.0,123,0.43045908247118836,0.30823568665859225,0.3334011432756271,0.348142844104482
1.0,456,0.43045908247118825,0.30823568665859147,0.3334011432756271,0.3481428441044815
