fraction,seed,auroc,ece,f1,brier
0.01,42,0.46500090041419057,0.1194455206265506,0.3900896060152363,0.2517152341237894
0.01,123,0.4381505492526562,0.1469460323644335,0.3900896060152363,0.25721855792871173
0.01,456,0.44970286331712594,0.19120304045176864,0.38707653701380174,0.27325018257060363
0.05,42,0.47168197370790566,0.1791189738570493,0.3900896060152363,0.27117023486481906
0.05,123,0.47443273905996763,0.22151564558624418,0.38707653701380174,0.2859142649609908
0.05,456,0.4877903835764452,0.21757630568413985,0.38707653701380174,0.28403674870801
0.1,42,0.5310012605798667,0.20097299441665356,0.39607087387214235,0.27355688077869306
0.1,123,0.5301953898793446,0.22785086969161117,0.38707653701380174,0.2842600408963793
0.1,456,0.5198721411849451,0.2660448864726713,0.38707653701380174,0.30313510641426455
0.25,42,0.5999594813614262,0.21450861507644728,0.40493248544410954,0.2706432873381273
0.25,123,0.5454574104087881,0.2424085730319297,0.39903932545441984,0.28766156829644457
0.25,456,0.555722132180803,0.2800240312036936,0.38707653701380174,0.3080307190515298
0.5,42,0.6165090941833243,0.23276645152399209,0.4078574384173865,0.2771604692317658
0.5,123,0.5836934990095444,0.2546465510645047,0.39903932545441984,0.2917415128914042
0.5,456,0.5583918602557176,0.2579231909330348,0.39903932545441984,0.29610019787894687
1.0,42,0.5884296776517198,0.2873011074129743,0.3900896060152363,0.3108485576660176
1.0,123,0.5884296776517198,0.2873011074136832,0.3900896060152363,0.3108485576664687
1.0,456,0.5884296776517198,0.28730110741371834,0.3900896060152363,0.3108485576664905
