fraction,seed,temperature,ece_raw,ece_scaled,ece_improvement
0.01,42,3.7295046606800124,0.25776858533755603,0.021502597269558915,0.23626598806799712
0.01,123,3.5754417010199946,0.2521096386323736,0.0284275886343958,0.22368204999797783
0.01,456,3.600904938729992,0.2545429021185599,0.015967477977512495,0.2385754241410474
0.05,42,5.104642540922709,0.31008911065325756,0.021215089160932288,0.2888740214923253
0.05,123,5.2346502335376766,0.31725545080826323,0.01755426139054617,0.29970118941771706
0.05,456,3.9519556934327307,0.27230373619642423,0.034648857765024625,0.2376548784313996
0.1,42,5.149254413951371,0.3125443354817876,0.031200686796039642,0.28134364868574796
0.1,123,4.824777993964782,0.3093438115192137,0.04635073925688833,0.2629930722623254
0.1,456,4.547375126934174,0.29961931107618345,0.050226318776159525,0.24939299230002393
0.25,42,5.323375131793074,0.3188039919011821,0.05301986169638587,0.2657841302047962
0.25,123,5.143044338585604,0.3154954030489913,0.04349909274223304,0.2719963103067583
0.25,456,4.945901467729049,0.30884208290142795,0.05984493488382052,0.24899714801760742
0.5,42,5.440623975195766,0.3212249194603882,0.048802859912795586,0.27242205954759263
0.5,123,5.473150594147069,0.32443860335868463,0.06689879693633248,0.25753980642235214
0.5,456,5.76548878301391,0.32302414915608313,0.041068298669156504,0.2819558504869266
1.0,42,5.431731270302358,0.3164027483520883,0.04430469897182993,0.2720980493802584
1.0,123,5.431731270236236,0.31640274835209153,0.044304698972684374,0.2720980493794072
1.0,456,5.431731270235899,0.3164027483520919,0.04430469897268888,0.2720980493794031
