fraction,seed,temperature,ece_raw,ece_scaled,ece_improvement
0.01,42,0.4161841503016343,0.18075398893959532,0.00493699495151971,0.1758169939880756
0.01,123,0.4957065929605586,0.1511192993670446,0.00391205406300727,0.14720724530403734
0.01,456,0.2959141386637279,0.2332017476533702,0.0445344157582515,0.1886673318951187
0.05,42,0.3564544761120289,0.21784599812389227,0.08421356651218675,0.13363243161170552
0.05,123,0.387957236510522,0.19877652402802626,0.052938838294795204,0.14583768573323105
0.05,456,0.4578393122159608,0.19328301137659606,0.12838931961439284,0.06489369176220322
0.1,42,0.4319006814130206,0.1999008447254244,0.10193655385223911,0.0979642908731853
0.1,123,0.5464097150737481,0.17358325608587405,0.12464852045979473,0.04893473562607932
0.1,456,0.527938318805905,0.17095512219245346,0.11804711945116991,0.052908002741283544
0.25,42,0.6161252944016824,0.1802730571391665,0.1642254516499509,0.016047605489215605
0.25,123,0.7490042607679307,0.15661906652338023,0.13812369000454397,0.01849537651883626
0.25,456,0.7691040580355961,0.16556258435365426,0.17182183745330604,-0.006259253099651779
0.5,42,0.8077936124226822,0.15784591281246058,0.15874181561686088,-0.0008959028044003003
0.5,123,0.8365264024266295,0.18910965661843712,0.19212804207389705,-0.003018385455459932
0.5,456,0.8473549587174106,0.16960826552603767,0.17121454237117922,-0.0016062768451415577
1.0,42,1.0191071716022668,0.18802104333831784,0.1884853028226164,-0.0004642594842985681
1.0,123,1.019107171601617,0.1880210433383193,0.18848530282260775,-0.0004642594842884651
1.0,456,1.0191071716015734,0.1880210433383179,0.18848530282260567,-0.0004642594842877712
