fraction,seed,auroc,ece,f1,brier
0.01,42,0.5012970757183511,0.1856803604793492,0.4618254879448909,0.1571525863255534
0.01,123,0.6631855893423738,0.1639860223723159,0.4618254879448909,0.1445910741523671
0.01,456,0.7107450688561054,0.19835522721649382,0.4618254879448909,0.15486304224496145
0.05,42,0.4868731001486002,0.1526786409237525,0.4643033464584152,0.15085388757352441
0.05,123,0.4779961868624326,0.16493603796284756,0.4912631722893115,0.15887506001315838
0.05,456,0.39560586713832435,0.24022608322472708,0.47145262578533825,0.17724608978693748
0.1,42,0.4070355688397501,0.18753277113362685,0.4788313559581839,0.167832949859179
0.1,123,0.38450484264966334,0.22729599073344395,0.4818993758007293,0.1838250650116843
0.1,456,0.4868928507175334,0.18148959270998083,0.5090673318575336,0.15773888895877414
0.25,42,0.40836396801123376,0.22795244095817663,0.488132216792399,0.18768882934473285
0.25,123,0.43748532397650436,0.22436580904367578,0.49979300469822363,0.18707283509614897
0.25,456,0.42202679827287304,0.21978043297917,0.4908285237645432,0.18137608362964955
0.5,42,0.43897304197021453,0.23471011997155936,0.4966264204545454,0.19402503641084212
0.5,123,0.407568104050524,0.26062907819182574,0.4662800224528531,0.21090004083237932
0.5,456,0.4356551654345622,0.23899330710528108,0.4880136949562258,0.19545062712844682
1.0,42,0.434316799709809,0.2610130446072938,0.46987738373084875,0.2153827466696543
1.0,123,0.434316799709809,0.2610130446072928,0.46987738373084875,0.21538274666965432
1.0,456,0.434316799709809,0.26101304460730784,0.46987738373084875,0.21538274666966598
