fraction,seed,temperature,ece_raw,ece_scaled,ece_improvement
0.01,42,0.4176141601472332,0.18725998444328382,0.013555122875449195,0.17370486156783463
0.01,123,0.5436042988729617,0.13811603562977223,0.021984765174257657,0.11613127045551458
0.01,456,0.4792247622462012,0.16174986039408495,0.011486111460389704,0.15026374893369526
0.05,42,0.4050238561031001,0.19776474360734114,0.0627891090779226,0.13497563452941855
0.05,123,0.42001864151607143,0.18102783250194635,0.026847236888436234,0.1541805956135101
0.05,456,0.6607366974247999,0.15260420184583143,0.0709547497216469,0.08164945212418452
0.1,42,0.27230306222563916,0.2654632408408413,0.11852434214481133,0.14693889869602994
0.1,123,0.3763936699935889,0.19787361347902516,0.045220375273770035,0.15265323820525512
0.1,456,0.6467925178513263,0.10446387584948884,0.03805913793126784,0.06640473791822099
0.25,42,0.35911981040331614,0.2370659610567104,0.1042498694913706,0.1328160915653398
0.25,123,0.399922682450464,0.19738357259840048,0.06286330542893169,0.1345202671694688
0.25,456,0.6396682830065724,0.12252823436611067,0.061444554110158554,0.061083680255952115
0.5,42,0.46256839535533706,0.222272408110176,0.1257713999328931,0.09650100817728291
0.5,123,0.42747125834622146,0.23076113340542975,0.12834248900155115,0.1024186444038786
0.5,456,0.5406774342334182,0.15986606364852915,0.07660319641476523,0.08326286723376392
1.0,42,0.5681758485535993,0.2178914495758418,0.15029480927035954,0.06759664030548226
1.0,123,0.5681758485535757,0.21789144957584272,0.1502948092703581,0.06759664030548462
1.0,456,0.5681758485537909,0.21789144957585033,0.1502948092703939,0.06759664030545642
