fraction,seed,temperature,ece_raw,ece_scaled,ece_improvement
0.01,42,0.45717379599874686,0.18158247584000864,0.1256669413323035,0.055915534507705145
0.01,123,0.4627633987125357,0.1754567921979454,0.12108774898737196,0.05436904321057345
0.01,456,0.3943118655822247,0.1974389066513084,0.08559392470527899,0.1118449819460294
0.05,42,0.2907133198488927,0.19105037461078134,0.054057594020250795,0.13699278059053055
0.05,123,0.41307027414737,0.15553735868873367,0.06988391839549497,0.0856534402932387
0.05,456,0.6255072616221035,0.14629092449162195,0.08777349141329992,0.05851743307832204
0.1,42,0.26609386690923087,0.2030624916854666,0.02687738603148252,0.1761851056539841
0.1,123,0.46315803085138413,0.14102131003905483,0.03578107139013301,0.10524023864892182
0.1,456,0.5734602405341993,0.12183498767016654,0.030593921322502195,0.09124106634766435
0.25,42,0.36954195011357616,0.165042609212602,0.01075611566664211,0.15428649354595989
0.25,123,0.5130075166405975,0.11567267074133304,0.03175530306964255,0.0839173676716905
0.25,456,0.5236267664669169,0.13857476050185344,0.038167010319794345,0.1004077501820591
0.5,42,0.4998497087027221,0.12859591877075569,0.013862203815126522,0.11473371495562916
0.5,123,0.5174270060302573,0.12328114918349449,0.01286494054164424,0.11041620864185026
0.5,456,0.5669264506265571,0.1335841917459023,0.05103467105079175,0.08254952069511055
1.0,42,0.525785296177893,0.13742806773172012,0.04194236774658517,0.09548569998513495
1.0,123,0.5257852961773406,0.13742806773173316,0.04194236774657186,0.0954856999851613
1.0,456,0.5257852961785621,0.1374280677317203,0.04194236774661834,0.09548569998510198
