fraction,seed,temperature,ece_raw,ece_scaled,ece_improvement
0.01,42,4.166025837677723,0.24955161630417025,0.011098688760980854,0.2384529275431894
0.01,123,4.612431075391118,0.2752282583002497,0.007860620318555557,0.26736763798169416
0.01,456,3.62826862360944,0.21567768985249233,0.029416132629558993,0.18626155722293333
0.05,42,6.73980696580499,0.32966182827636203,0.01014745284735867,0.31951437542900335
0.05,123,6.257230242360005,0.3210657828932592,0.011007329422753571,0.31005845347050565
0.05,456,6.149514802209502,0.3086125141809271,0.023137195963942196,0.2854753182169849
0.1,42,7.550504386694743,0.34086847165128253,0.01936855902576433,0.3214999126255182
0.1,123,7.601461129343895,0.3425961281057823,0.013745704578481597,0.3288504235273007
0.1,456,7.385011964169244,0.3355593103195974,0.014259557222241313,0.3212997530973561
0.25,42,9.427007772952035,0.3555001634829571,0.03715652585728753,0.3183436376256696
0.25,123,8.801208664077004,0.35120369930877426,0.027398791943065173,0.3238049073657091
0.25,456,9.062600985270059,0.3538776532615843,0.029114104467088918,0.3247635487944954
0.5,42,9.666375973119365,0.3564894322403329,0.038361548220858695,0.3181278840194742
0.5,123,9.857888560861294,0.35815993986469663,0.029728214862190152,0.3284317250025065
0.5,456,9.973694846569137,0.3561096859823955,0.03956378123260454,0.31654590474979094
1.0,42,9.999995428180515,0.3622809682618346,0.035146041340976625,0.327134926920858
1.0,123,9.999995428180515,0.3622809682616973,0.03514604134056451,0.3271349269211328
1.0,456,9.999995428180515,0.3622809682616234,0.03514604134038039,0.327134926921243
