fraction,seed,auroc,ece,f1,brier
0.01,42,0.4920610744543148,0.18075398893959532,0.4618254879448909,0.15496366792853908
0.01,123,0.4571946394108328,0.1511192993670446,0.4618254879448909,0.1454790866909958
0.01,456,0.7777015784683898,0.2332017476533702,0.4618254879448909,0.1631256017939849
0.05,42,0.48261051848857695,0.21784599812389227,0.4619432528174831,0.1728909213920992
0.05,123,0.5180365408159927,0.19877652402802626,0.4684872580815655,0.162836426841064
0.05,456,0.36800640020654496,0.19328301137659606,0.4638850589598729,0.16872737289768824
0.1,42,0.46012130135001894,0.1999008447254244,0.4719431743316118,0.16847494314655037
0.1,123,0.3924711488361986,0.17358325608587405,0.4732588229225861,0.1641582216497375
0.1,456,0.428228549932943,0.17095512219245346,0.4704243505209592,0.16083434053575052
0.25,42,0.4096815974639831,0.1802730571391665,0.4684317988696325,0.17192466375095136
0.25,123,0.4002151972340734,0.15661906652338023,0.4693826886746759,0.1564487934644699
0.25,456,0.38216328675168343,0.16556258435365426,0.46418279940482876,0.1636636534262112
0.5,42,0.42863725163203215,0.15784591281246058,0.465267278459501,0.16361831721660722
0.5,123,0.3829298716804441,0.18910965661843712,0.463664349960347,0.17966622699420634
0.5,456,0.4068378075977701,0.16960826552603767,0.4683785233870578,0.16535580093751395
1.0,42,0.401307538773908,0.18802104333831784,0.4601161479854604,0.17744015089753745
1.0,123,0.401307538773908,0.1880210433383193,0.4601161479854604,0.17744015089753862
1.0,456,0.401307538773908,0.1880210433383179,0.4601161479854604,0.1774401508975375
