fraction,seed,auroc,ece,f1,brier
0.01,42,0.6060427257322684,0.0660631589461598,0.5096774193548387,0.20222465881450716
0.01,123,0.5997488501573469,0.06875394680755571,0.5177782885310356,0.2037956054655676
0.01,456,0.6043330912611957,0.07622810708085723,0.5380014533529598,0.20458150203555417
0.05,42,0.5983871943839265,0.12012711307848457,0.5684864334749918,0.21667769918727892
0.05,123,0.6012315419995159,0.1110374297380441,0.5731472249916916,0.2139687947606494
0.05,456,0.6183430162188333,0.11850086947876953,0.6004499217527386,0.21526428537056705
0.1,42,0.6112321471798596,0.12723122221148328,0.5728353617116386,0.2176262725672803
0.1,123,0.6094922536916001,0.1300443463332137,0.595020464739189,0.21699743945452482
0.1,456,0.6036825223916726,0.12307140891473001,0.5823560270712028,0.21940293425089422
0.25,42,0.6140159767610748,0.1471481173588136,0.5781987371219675,0.221360151038261
0.25,123,0.6229423868312757,0.1633552596412464,0.6118402230719947,0.22957053922401646
0.25,456,0.6104151537158073,0.1494568922302389,0.5814685314685315,0.22238180898979468
0.5,42,0.60770697167756,0.1647597861120985,0.5645768538222296,0.22828564073480034
0.5,123,0.6171477850399419,0.16207794743599702,0.5768523755656109,0.22582139128717635
0.5,456,0.6114137012829823,0.15885253021836676,0.589477088948787,0.22555088708414076
1.0,42,0.6132141128056161,0.17239009540523134,0.5605366079313681,0.22884357840429653
1.0,123,0.6132141128056161,0.1723900954053022,0.5605366079313681,0.22884357840431888
1.0,456,0.6132141128056161,0.1723900954052483,0.5605366079313681,0.22884357840430186
