fraction,seed,auroc,ece,f1,brier
0.01,42,0.4854937729851353,0.18158247584000864,0.46178686759956944,0.1602017131776339
0.01,123,0.5413832101034126,0.1754567921979454,0.4618254879448909,0.15647026793688504
0.01,456,0.5090416717290429,0.1974389066513084,0.4618254879448909,0.16358077070019772
0.05,42,0.8601212137319683,0.19105037461078134,0.4703582804722024,0.141778954111466
0.05,123,0.8587781020294677,0.15553735868873367,0.46564021261025673,0.1280543600832595
0.05,456,0.3173908395912093,0.14629092449162195,0.4618061784650712,0.14998222934646685
0.1,42,0.848764965163063,0.2030624916854666,0.5627827604135642,0.14287547849219287
0.1,123,0.7638685866507474,0.14102131003905483,0.490869563168875,0.13033044217079875
0.1,456,0.592074998422875,0.12183498767016654,0.46376794812101324,0.13233421806345966
0.25,42,0.8142555371687454,0.165042609212602,0.5765716995463568,0.12929688558101732
0.25,123,0.7990827558330257,0.11567267074133304,0.5242290948034742,0.1182973944156998
0.25,456,0.6332116732360734,0.13857476050185344,0.49127254083760064,0.13715827119578095
0.5,42,0.7494319064636421,0.12859591877075569,0.571526119582155,0.12401392965047729
0.5,123,0.7541023866572896,0.12328114918349449,0.5550618504356716,0.12326506771809645
0.5,456,0.6379711952737654,0.1335841917459023,0.5346281969632651,0.13686971944825294
1.0,42,0.7456394321532545,0.13742806773172012,0.5999319033026899,0.12807892004352808
1.0,123,0.7456394321532545,0.13742806773173316,0.5999319033026899,0.12807892004353055
1.0,456,0.7456394321532545,0.1374280677317203,0.5999319033026899,0.12807892004352792
