fraction,seed,auroc,ece,f1,brier
0.01,42,0.6026472177201513,0.25776858533755603,0.38707653701380174,0.29600308189852687
0.01,123,0.5986358725013505,0.2521096386323736,0.38707653701380174,0.2921682957983463
0.01,456,0.6128534125697821,0.2545429021185599,0.38707653701380174,0.2931229636435578
0.05,42,0.5983477399603818,0.31008911065325756,0.38707653701380174,0.32659884808175366
0.05,123,0.6143616063389159,0.31725545080826323,0.38707653701380174,0.32976707797732085
0.05,456,0.6219746083198272,0.27230373619642423,0.3896971043060607,0.30147666842604876
0.1,42,0.6068206374932468,0.3125443354817876,0.38707653701380174,0.32698979764290287
0.1,123,0.641599135602377,0.3093438115192137,0.38707653701380174,0.32238126532594774
0.1,456,0.6360300738339636,0.29961931107618345,0.3896971043060607,0.3154838043281123
0.25,42,0.638042499549793,0.3188039919011821,0.386691776522285,0.32827460906833084
0.25,123,0.643517017828201,0.3154954030489913,0.386691776522285,0.32511372178870596
0.25,456,0.6475688816855754,0.30884208290142795,0.3896971043060607,0.3219120056057968
0.5,42,0.6475103547631912,0.3212249194603882,0.3896971043060607,0.3292018107948701
0.5,123,0.6635962542769674,0.32443860335868463,0.3896971043060607,0.33197721711466194
0.5,456,0.6308887088060509,0.32302414915608313,0.386691776522285,0.3310561483774337
1.0,42,0.6447956059787502,0.3164027483520883,0.3926875174232468,0.3254595403591797
1.0,123,0.6447956059787502,0.31640274835209153,0.3926875174232468,0.32545954035918184
1.0,456,0.6447956059787502,0.3164027483520919,0.3926875174232468,0.32545954035918256
