fraction,seed,auroc,ece,f1,brier
0.01,42,0.41064512224642946,0.2352291741782621,0.4261573033707865,0.27862021094994993
0.01,123,0.38306402808036794,0.2536188109917566,0.40152992350382477,0.2858375204675541
0.01,456,0.4376512950859356,0.21960928490976533,0.44205576697892274,0.26862365181675596
0.05,42,0.4059095860566449,0.28664995400413606,0.4225129308046427,0.30869353304613023
0.05,123,0.40156741709029287,0.28781436625882323,0.4072226619300926,0.310333778895375
0.05,456,0.43156923263132413,0.26383383186558024,0.42912895262724815,0.2926137942544668
0.1,42,0.43279472282740256,0.2932702247318848,0.4560588544403573,0.31710586232760646
0.1,123,0.41901174049866863,0.3038353801261547,0.4210337078651685,0.3176723287073195
0.1,456,0.42417090292907283,0.30047684245614825,0.4331601927451675,0.3193582317849786
0.25,42,0.43391430646332607,0.3173703282376116,0.45057091537543686,0.328141408560469
0.25,123,0.42193173565722586,0.3273225124225773,0.43864861706922165,0.33645409643003776
0.25,456,0.42586540789155164,0.3076821901828741,0.4398737942370148,0.32519116286379435
0.5,42,0.4297990801258775,0.3177495424774796,0.44289134823452087,0.33414158990056575
0.5,123,0.42577463083999034,0.3325056359205576,0.43763815518339516,0.34370382341491407
0.5,456,0.43740922294843865,0.3208514293341555,0.44647398843930636,0.3341998296064223
1.0,42,0.42849794238683125,0.334735372602922,0.44067028985507245,0.3456252817465889
1.0,123,0.42849794238683125,0.3347353726029223,0.44067028985507245,0.34562528174658913
1.0,456,0.42849794238683125,0.33473537260292124,0.44067028985507245,0.34562528174658835
