model,dataset,fraction,n_seeds,auroc_mean,auroc_ci_low,auroc_ci_high,auroc_ci_width,ece_mean,ece_ci_low,ece_ci_high,ece_ci_width,brier_mean,brier_ci_low,brier_ci_high,brier_ci_width,f1_mean,f1_ci_low,f1_ci_high,f1_ci_width
CLIP,BRACS,0.01,3,0.6942489976050666,0.6766619789669829,0.728975924760752,0.052313945793769134,0.10542660491440665,0.08889620295882021,0.1326485996855362,0.04375239672671598,0.12516805032564715,0.12423725479980659,0.1257138623883861,0.0014766075885795232,0.0825730432579614,0.0347787805414924,0.1382772764561115,0.10349849591461908
CLIP,BRACS,0.05,3,0.749851471267307,0.744751989051163,0.759964706683327,0.01521271763216403,0.13699131433470588,0.11011784840614298,0.18218777399176136,0.07206992558561838,0.1166018556243406,0.1153718856265082,0.1175967971993744,0.002224911572866195,0.2592353457508078,0.19480034843875801,0.3227123913823063,0.12791204294354827
CLIP,BRACS,0.1,3,0.7634118963324904,0.75711280071455,0.7690668287939505,0.011954028079400492,0.11881308663692265,0.0962704332077877,0.1453180089561306,0.049047575748342884,0.11208425284305401,0.1114082394112838,0.1125114888372347,0.0011032494259509001,0.3007638591901896,0.2641342342172931,0.33846006851085714,0.07432583429356404
CLIP,BRACS,0.25,3,0.7818683812258511,0.7781539244715762,0.7890764235885558,0.010922499116979623,0.11910974403433965,0.0951303667078004,0.1331296401924532,0.03799927348465282,0.10506316522353876,0.1042764816968374,0.10622286490662698,0.0019463832097895845,0.3414701743315361,0.3055836413929052,0.36083543446016114,0.05525179306725592
CLIP,BRACS,0.5,3,0.7961214295193974,0.7949594139047415,0.7973124413842237,0.0023530274794822947,0.10464217710724387,0.1018933120820083,0.10691928796695731,0.005025975884949005,0.09968703037736841,0.0996173760182338,0.0997874350323325,0.0001700590140987085,0.38706169164277865,0.38592273572094343,0.388884789128914,0.0029620534079705663
CLIP,BRACS,1.0,3,0.8137754803415936,0.8137754803415936,0.8137754803415936,0.0,0.0870837047793156,0.0870837047791404,0.08708370477951881,3.784056401556768e-13,0.09505534757940381,0.095055347579392,0.09505534757942298,3.097522238704187e-14,0.43348485180955026,0.43348485180955026,0.43348485180955026,0.0
CLIP,CRC,0.01,3,0.9770994330038499,0.9761106711153956,0.9776932437983475,0.0015825726829519215,0.36152668913971103,0.3398011254714816,0.383914624742352,0.04411349927087038,0.050209788423486106,0.049873560470575,0.0503830289397115,0.0005094684691364995,0.8026820521846986,0.7789408510110611,0.825560456069503,0.04661960505844187
CLIP,CRC,0.05,3,0.9895444216315319,0.9891443032758408,0.9897452065706082,0.0006009032947673631,0.2295305777176078,0.2292314801526981,0.2300375905539874,0.0008061104012893061,0.02800762018156977,0.027894059446864395,0.0281937118263742,0.00029965237950980647,0.8809772822506097,0.8798100752892267,0.8815998646056419,0.001789789316415158
CLIP,CRC,0.1,3,0.9926133522387571,0.9924368837300612,0.9927544334746029,0.0003175497445416786,0.17445127045207687,0.1733683931665433,0.17595138708619404,0.00258299391965075,0.021669745022258866,0.0215906938616128,0.0218186568380017,0.00022796297638890198,0.8996549580357668,0.8980981033622406,0.90053391222634,0.0024358088640994424
CLIP,CRC,0.25,3,0.995353226725832,0.9953034547552676,0.9954380407206752,0.0001345859654076076,0.12356801567422758,0.1221815280114991,0.1246441624727314,0.0024626344612322937,0.015545631688717467,0.015477264485558,0.015593938006686,0.00011667352112800129,0.9244711308232704,0.9234536096521756,0.9255220293992513,0.0020684197470757226
CLIP,CRC,0.5,3,0.9966765665307991,0.9966347789372124,0.9967224907427378,8.771180552535895e-05,0.0942241289553845,0.0937768428725071,0.095022228906689,0.0012453860341819084,0.012312464816813267,0.0122747712875149,0.0123587262346349,8.395494712000115e-05,0.9386394437583916,0.9383307451176467,0.9391405659694044,0.0008098208517577365
CLIP,CRC,1.0,3,0.9976325459696076,0.997630269587304,0.9976337335241364,3.463936832370784e-06,0.07183432036997589,0.0718160710825348,0.0718705893790335,5.451829649870399e-05,0.0098049744455466,0.0098034446077157,0.0098078193550159,4.37474730019885e-06,0.950426356192248,0.9504009415178384,0.9504771855410672,7.624402322881085e-05
CLIP,LungHist700,0.01,3,0.6350789770935871,0.5742367982617195,0.7062655544447408,0.13202875618302135,0.14540839526099295,0.0636376715486758,0.2526510952085641,0.1890134236598883,0.12209543522156817,0.1218284060338974,0.12229060303581958,0.00046219700192218216,0.24479354665626554,0.1780251935579278,0.3087925621176852,0.13076736855975737
CLIP,LungHist700,0.05,3,0.7150317539732196,0.655095458548421,0.7465770785106542,0.09148161996223325,0.10333820625251709,0.0635913520264686,0.1278901023386345,0.06429875031216589,0.1247298345515363,0.12253221436997559,0.1270695114213676,0.004537297051392011,0.07140328044379213,0.0457142857142857,0.12278126990280498,0.07706698418851929
CLIP,LungHist700,0.1,3,0.7445867510718509,0.720318024043447,0.7894603608909957,0.06914233684754867,0.15933710267690018,0.1326761372974904,0.17555164575367668,0.04287550845618629,0.12301588777436873,0.12259672705577558,0.12374201619104301,0.00114528913526743,0.045682272909163636,0.0456182472989195,0.0457142857142857,9.603841536619945e-05
CLIP,LungHist700,0.25,3,0.8080990499109554,0.7826803237082599,0.8256864268872436,0.04300610317898368,0.11047181863529064,0.0496090855537632,0.1599814224237959,0.1103723368700327,0.12004480136344503,0.1191158584676329,0.121231726587211,0.0021158681195781043,0.0778005136625826,0.0457142857142857,0.1419729695591764,0.0962586838448907
CLIP,LungHist700,0.5,3,0.8263254777374573,0.8064120611122559,0.8412662196944677,0.03485415858221175,0.07110711784476863,0.0378861253190573,0.1093037621732708,0.0714176368542135,0.11605744299804531,0.11492940872159559,0.1170918479819183,0.00216243926032271,0.15310289942971667,0.11459180257305461,0.20839202937812287,0.09380022680506826
CLIP,LungHist700,1.0,3,0.8354478917641995,0.8354478917641995,0.8354478917641995,0.0,0.1092982121133294,0.1092982121133294,0.1092982121133294,0.0,0.10998947231786838,0.1099894723178683,0.10998947231786842,1.1102230246251565e-16,0.21552257266542982,0.21552257266542982,0.21552257266542982,0.0
CLIP,MHIST,0.01,3,0.6539032955159373,0.5745092742661624,0.7265036916981812,0.1519944174320188,0.15013008650633178,0.10945338094161268,0.1980286994879277,0.08857531854631502,0.25316028186849615,0.2393820390916944,0.2695863915327224,0.03020435244102801,0.0,0.0,0.0,0.0
CLIP,MHIST,0.05,3,0.7860045620985653,0.7770259319286872,0.7959616423554835,0.018935710426796315,0.15632978845145182,0.1254060525743882,0.1720829960363045,0.04667694346191631,0.23031098689712934,0.22495779379615546,0.2358190451395514,0.010861251343395939,0.0,0.0,0.0,0.0
CLIP,MHIST,0.1,3,0.8141680172879525,0.8092652620205293,0.8218575544750587,0.012592292454529419,0.17618919138288244,0.1662504849423507,0.1817667685491943,0.015516283606843595,0.2199758841323597,0.2116640013897034,0.2287709385059213,0.017106937116217913,0.0,0.0,0.0,0.0
CLIP,MHIST,0.25,3,0.834313284110691,0.8256663065009905,0.8436205654601117,0.017954258959121172,0.1565658032920283,0.1456303226283521,0.1688551909186621,0.023224868290310008,0.19421689255812566,0.1924153602298957,0.1965723718083009,0.004157011578405201,0.048313826483143425,0.0273224043715847,0.0795755968169761,0.052253192445391394
CLIP,MHIST,0.5,3,0.8443784140704725,0.840257518458491,0.8499864937871422,0.009728975328651246,0.14100879491431664,0.138399049467649,0.1428758882835059,0.004476838815856893,0.1805479322694359,0.17821199407052637,0.1832903045497973,0.005078310479270931,0.29249596597123634,0.2311320754716981,0.3421052631578947,0.1109731876861966
CLIP,MHIST,1.0,3,0.8535251215559155,0.8535251215559155,0.8535251215559155,0.0,0.11701799192424811,0.1170179919242461,0.1170179919242502,4.107825191113079e-15,0.16812731746738674,0.1681273174673867,0.16812731746738682,1.1102230246251565e-16,0.497196261682243,0.497196261682243,0.497196261682243,0.0
CLIP,PCam,0.01,3,0.8811240910555439,0.8798468601424103,0.883224294625187,0.00337743448277672,0.08091328770655172,0.0763820394434654,0.08852439916799788,0.012142359724532481,0.14726399409159385,0.1472015850217231,0.1473884429954451,0.0001868579737220044,0.7985048729991705,0.7937736022842405,0.802244965335094,0.008471363050853498
CLIP,PCam,0.05,3,0.8990712118191869,0.8971684387372938,0.9003773075285855,0.0032088687912916747,0.0549628939463002,0.04946900460314171,0.0610516153367652,0.011582610733623495,0.13196746678069576,0.1314412260774574,0.132765627133081,0.001324401055623592,0.8074515529822666,0.8061301715438951,0.8090957496789551,0.002965578135060043
CLIP,PCam,0.1,3,0.9055140094341828,0.9053498184760699,0.9057752914093036,0.00042547293323369484,0.04870984123209917,0.046135174101267905,0.050683551117784,0.004548377016516093,0.12695770073589888,0.1265606360133878,0.1271616776403642,0.0006010416269764118,0.8124366352083031,0.8110447666887813,0.8146306147502282,0.0035858480614469057
CLIP,PCam,0.25,3,0.909717845082933,0.9091292789106618,0.910815531872068,0.0016862529614062316,0.04047709639624837,0.0398202559159865,0.0410747386497777,0.0012544827337912026,0.12348586306787664,0.12277278096672932,0.1238862331002591,0.0011134521335297853,0.8141888014545199,0.8128649373025749,0.8156775626785148,0.002812625375939848
