fraction,seed,auroc,ece,f1,brier
0.01,42,0.4973054893877017,0.2056650585884657,0.4618254879448909,0.16563759450207347
0.01,123,0.2909600514259546,0.17370361200151024,0.4618061784650712,0.1626607087956659
0.01,456,0.5457545111613713,0.19725350389102744,0.4665395380935643,0.16090823028714943
0.05,42,0.3252971274130011,0.24677730260022504,0.4330995282670804,0.2091434158447243
0.05,123,0.2349093240793095,0.28009572721879844,0.43709103791278253,0.2197738884285426
0.05,456,0.2518330061285906,0.22808907134334763,0.45780502046780935,0.1807409634528386
0.1,42,0.31914239744015105,0.23136692569791253,0.4601440388008863,0.19323128906271372
0.1,123,0.23632793333551405,0.31095741946784095,0.40901030579854386,0.24058086981307933
0.1,456,0.2644143740916929,0.26026327103049035,0.43652608227816825,0.21080727390988782
0.25,42,0.31877805237923895,0.20670353532677627,0.4561903641802632,0.18193015865395798
0.25,123,0.2430469235550031,0.26536382134328057,0.44527376775417316,0.20696905857651915
0.25,456,0.19957511816754442,0.30143108008953384,0.43133290177114436,0.22305117899948243
0.5,42,0.28668049376860427,0.23131533685091607,0.4518947079993409,0.19330454246600348
0.5,123,0.21058268340210376,0.30241348168142584,0.4256545734061515,0.23276356108030652
0.5,456,0.2279016688902181,0.27647210143472634,0.43441980752443793,0.21851541905386845
1.0,42,0.23997452359145222,0.252491304573321,0.44218254357009834,0.20795844528904242
1.0,123,0.23997452359145222,0.2524913045733211,0.44218254357009834,0.20795844528904228
1.0,456,0.23997452359145222,0.25249130457332036,0.44218254357009834,0.20795844528904187
