fraction,seed,temperature,ece_raw,ece_scaled,ece_improvement
0.01,42,0.3156316564201025,0.2193305325381324,0.015184428470800471,0.2041461040673319
0.01,123,0.36326403617090824,0.19806383804790284,0.027263564122217677,0.17080027392568517
0.01,456,0.15562919670774533,0.28644466662310525,0.02350500489497763,0.2629396617281276
0.05,42,0.15020264157487548,0.3276482379572307,0.2058397178291175,0.12180852012811319
0.05,123,0.23434976812880784,0.24929677487289983,0.03943853413464653,0.20985824073825332
0.05,456,0.2741457256441624,0.24780840830471806,0.07635736714306125,0.17145104116165683
0.1,42,0.3276394526005821,0.33522968869803604,0.29729346815748803,0.037936220540548016
0.1,123,0.3512175427286512,0.2175942367099148,0.07459373544464772,0.1430005012652671
0.1,456,0.30917902302907385,0.24438076788411328,0.10559102798964973,0.13878973989446355
0.25,42,0.349080514487679,0.28352120948615983,0.19298547603700097,0.09053573344915886
0.25,123,0.4049416116354612,0.21746803694659597,0.1143116314860773,0.10315640546051867
0.25,456,0.47683462397266224,0.2520146393072653,0.18259015624507458,0.06942448306219073
0.5,42,0.5256797955072016,0.26558915836569796,0.20866545770894063,0.05692370065675734
0.5,123,0.5088011267915269,0.2689720226329455,0.21085490329872633,0.058117119334219175
0.5,456,0.5532349031119195,0.25009687006992926,0.19592748316476094,0.054169386905168315
1.0,42,0.7954580570086219,0.27788407236216245,0.26258480405391244,0.015299268308250014
1.0,123,0.7954580570052348,0.27788407236216317,0.26258480405361906,0.015299268308544112
1.0,456,0.7954580570080377,0.2778840723621641,0.26258480405386353,0.015299268308300584
