,CLIP,PLIP,CONCH,VIRCHOW2,UNI,GigaPath,H-Optimus-0,MIDNIGHT
CLIP,1.0,0.51423067,0.44272676,0.4340629,0.46833357,0.4236756,0.44988728,0.4187508
PLIP,0.51423067,1.0,0.54353905,0.50426626,0.48481685,0.42891726,0.41339806,0.459594
CONCH,0.44272676,0.54353905,1.0,0.5967121,0.47916657,0.41759422,0.40949363,0.47090483
VIRCHOW2,0.4340629,0.50426626,0.5967121,1.0,0.491051,0.42711794,0.4421402,0.48110566
UNI,0.46833357,0.48481685,0.47916657,0.491051,1.0,0.7004652,0.73150605,0.5351126
GigaPath,0.4236756,0.42891726,0.41759422,0.42711794,0.7004652,1.0,0.72262394,0.5104075
H-Optimus-0,0.44988728,0.41339806,0.40949363,0.4421402,0.73150605,0.72262394,1.0,0.5505508
MIDNIGHT,0.4187508,0.459594,0.47090483,0.48110566,0.5351126,0.5104075,0.5505508,1.0
