probe,model,dataset,fraction,seed,auroc,f1_macro,ece_fixed,ece_scaled_fixed,temperature,degeneracy_share
linear,CLIP,CRC,0.01,456,0.9769671720070304,0.8118110771441805,0.3695003273836306,0.0140696926133957,0.2974778646398588,0.1859333333333333
linear,CLIP,CRC,0.05,42,0.9893204867616348,0.8798555268983296,0.2253942466686267,0.0054857919556386,0.4031183529119491,0.1582666666666666
linear,CLIP,CRC,0.05,123,0.9890491860665996,0.8782612236511571,0.2229623963786029,0.007725744605054,0.4067992171605963,0.1626666666666666
linear,CLIP,CRC,0.05,456,0.9894274761280212,0.879261385265827,0.2244064199650048,0.0063196886510677,0.4028387416329038,0.1574666666666666
linear,CLIP,CRC,0.1,42,0.9925975434930354,0.9014627789568256,0.1751348450693733,0.0045111194612305,0.439606990084521,0.1526666666666666
linear,CLIP,CRC,0.1,123,0.9921038229825332,0.8953747579374988,0.1682143607974671,0.008122804792038,0.4531859150274905,0.1526
linear,CLIP,CRC,0.1,456,0.9925273762495912,0.9006376048121612,0.1741038649190827,0.0065056645128186,0.4420261484277903,0.1511333333333333
linear,CLIP,CRC,0.25,42,0.9953754536602272,0.9259936386124212,0.1242360330945773,0.0032202845517747,0.4912236369645681,0.1476666666666666
linear,CLIP,CRC,0.25,123,0.9953013493952731,0.92506417321018,0.1238060588864088,0.0027923396864048,0.4933018110710229,0.1467333333333333
linear,CLIP,CRC,0.25,456,0.9953223387380472,0.9247862586790536,0.1242324658354407,0.0023723526930273,0.4915847924930255,0.1474666666666666
linear,CLIP,CRC,0.5,42,0.9965986264178454,0.938173262704093,0.0937263718221419,0.0030660558384768,0.5321271964999333,0.1460666666666666
linear,CLIP,CRC,0.5,123,0.9966630161005222,0.938067885630034,0.0932658744885246,0.0036318984782173,0.5298016557624112,0.1460666666666666
linear,CLIP,CRC,0.5,456,0.996746572456318,0.9383958478713048,0.0938484135417977,0.0051056571038825,0.5268455857096711,0.1456666666666666
linear,CLIP,CRC,1.0,42,0.9976336102290294,0.9504009415178384,0.071816040302663,0.0032524842847108,0.5629432009274911,0.1444
linear,CLIP,CRC,1.0,123,0.9976336102290294,0.9504009415178384,0.071816040302663,0.0032524842847108,0.5629432009274911,0.1444
linear,CLIP,CRC,1.0,456,0.9976336102290294,0.9504009415178384,0.071816040302663,0.0032524842847108,0.5629432009274911,0.1444
linear,CLIP,LungHist700,0.01,42,0.5937199380420627,0.136149005056568,0.0342784281075258,0.046946666719548,0.1000052749944835,0.3904761904761905
linear,CLIP,LungHist700,0.01,123,0.6203690070765261,0.2507544467955239,0.1497224739229589,0.1364120038306968,0.1000052749944835,0.2857142857142857
linear,CLIP,LungHist700,0.01,456,0.5666983609416967,0.1861017801109966,0.0159255242501488,0.0149574675054162,0.1000052749944835,0.4285714285714285
