,CLIP,PLIP,CONCH,VIRCHOW2,UNI,GigaPath,H-Optimus-0,MIDNIGHT
CLIP,1.0,0.17164974,0.12744251,0.112508394,0.14193907,0.12067542,0.14027108,0.08132274
PLIP,0.17164974,1.0,0.19748145,0.15798241,0.21835841,0.17510659,0.21907279,0.10175751
CONCH,0.12744251,0.19748145,1.0,0.18391353,0.21862796,0.19056743,0.21630923,0.10883897
VIRCHOW2,0.112508394,0.15798241,0.18391353,1.0,0.20509449,0.18139641,0.2033649,0.10622209
UNI,0.14193907,0.21835841,0.21862796,0.20509449,1.0,0.27677095,0.35203212,0.12989247
GigaPath,0.12067542,0.17510659,0.19056743,0.18139641,0.27677095,1.0,0.30772015,0.107231535
H-Optimus-0,0.14027108,0.21907279,0.21630923,0.2033649,0.35203212,0.30772015,1.0,0.124004714
MIDNIGHT,0.08132274,0.10175751,0.10883897,0.10622209,0.12989247,0.107231535,0.124004714,1.0
