,CLIP,PLIP,CONCH,VIRCHOW2,UNI,GigaPath,H-Optimus-0,MIDNIGHT
CLIP,1.0,0.23010765,0.17501536,0.16855048,0.17893921,0.17017305,0.16808242,0.15103073
PLIP,0.23010765,1.0,0.27140006,0.2469385,0.27559996,0.24957071,0.24061796,0.20601238
CONCH,0.17501536,0.27140006,1.0,0.33370045,0.33079317,0.294093,0.27411196,0.24148089
VIRCHOW2,0.16855048,0.2469385,0.33370045,1.0,0.31907037,0.28322637,0.28736928,0.24680325
UNI,0.17893921,0.27559996,0.33079317,0.31907037,1.0,0.4693065,0.47799197,0.2708347
GigaPath,0.17017305,0.24957071,0.294093,0.28322637,0.4693065,1.0,0.42669383,0.28648654
H-Optimus-0,0.16808242,0.24061796,0.27411196,0.28736928,0.47799197,0.42669383,1.0,0.29472393
MIDNIGHT,0.15103073,0.20601238,0.24148089,0.24680325,0.2708347,0.28648654,0.29472393,1.0
