design,model,pair,ece_lo,ece_hi,ece_delta,ece_slope,rises,auroc_lo,auroc_hi,auroc_mean,auroc_dist,degeneracy,degenerate_share
label-definition,CLIP,BRACS->CRC,0.21480456430819891,0.2999201632964821,0.08511559898828316,0.04210680296971747,True,0.6672765126380277,0.5265005905456619,0.5288376377647818,0.028837637764781765,0.7547296296296298,0.16666666666666666
label-definition,CLIP,CRC->BRACS,0.07766747544693066,0.20443531786100552,0.12676784241407485,0.05908384549612286,True,0.550280400225934,0.6608115468409586,0.6278855335000942,0.12788553350009424,0.610428849902534,0.05555555555555555
label-definition,CLIP,MHIST->PCam,0.23419750946897655,0.3117107328497158,0.07751322338073924,0.0399314647827899,True,0.5761673757143371,0.6281318991574014,0.5865768778574149,0.08657687785741486,0.9998728434244791,1.0
label-definition,CLIP,PCam->MHIST,0.20795438617959053,0.2509820835868923,0.04302769740730175,0.027924847186050913,True,0.453666186445765,0.4839366108409868,0.46825289633231276,0.03174710366768724,0.6540429887410442,0.0
label-definition,CONCH,BRACS->CRC,0.19447174762051736,0.2608707703288418,0.06639902270832446,0.031458506647405626,True,0.4446733506583425,0.2399745235914522,0.28735737363335306,0.21264262636664694,0.8880000000000001,0.16666666666666666
label-definition,CONCH,CRC->BRACS,0.23944636662991856,0.3375047992219981,0.09805843259207955,0.04824972860824571,True,0.4104534818042443,0.4284979423868312,0.4225873476962801,0.07741265230371991,0.8249512670565304,0.0
label-definition,CONCH,MHIST->PCam,0.22880447375379975,0.4550380096691915,0.22623353591539175,0.12534200757878045,True,0.6178767008432188,0.6955241265918396,0.7033099905317467,0.2033099905317467,0.9999287923177084,1.0
label-definition,CONCH,PCam->MHIST,0.11240985630266133,0.1508491012776405,0.03843924497497918,0.020854546346888266,True,0.6558541929287472,0.6332613001980911,0.637843908197771,0.13784390819777104,0.7421812805640849,0.0
label-definition,GigaPath,BRACS->CRC,0.23433253115498745,0.2779494868076844,0.04361695565269694,0.013588636076944084,True,0.5826687382494459,0.6020277153418039,0.59527890253394,0.09527890253394,0.8432148148148149,0.2222222222222222
label-definition,GigaPath,CRC->BRACS,0.20680769095167262,0.2323974910924541,0.025589800140781493,0.013394511153421924,True,0.6925229968530623,0.6024116436698136,0.6480699790204147,0.14806997902041474,0.9974658869395712,1.0
label-definition,GigaPath,MHIST->PCam,0.24351154339735057,0.4620518188702171,0.21854027547286656,0.11341055292329291,True,0.43567229191937407,0.4865364389132168,0.44222272436661086,0.057777275633389136,1.0,1.0
label-definition,GigaPath,PCam->MHIST,0.15150864683692367,0.2882877951085638,0.13677914827164012,0.06235423584627595,True,0.4509514376613242,0.5884296776517198,0.5329361506292895,0.03293615062928945,0.9980666439213012,1.0
label-definition,H-Optimus-0,BRACS->CRC,0.21539656723563463,0.2201482805864774,0.004751713350842762,-0.005114946949824723,True,0.5856597021025217,0.5009205371453805,0.5208286096657379,0.02082860966573785,0.9328703703703705,0.3888888888888889
label-definition,H-Optimus-0,CRC->BRACS,0.21022503609313695,0.2748610725607751,0.06463603646763813,0.03113015723442492,True,0.5882554667957719,0.574210239651416,0.5798417789612416,0.07984177896124156,1.0,1.0
label-definition,H-Optimus-0,MHIST->PCam,0.23168492060349258,0.4878179837068306,0.25613306310333805,0.1390603552628214,True,0.5754569701753242,0.5612062048133613,0.5606691614849287,0.060669161484928735,1.0,1.0
label-definition,H-Optimus-0,PCam->MHIST,0.2564632878285063,0.3160263547652373,0.059563066936731024,0.03009931394413519,True,0.6047121675970947,0.6447956059787502,0.629932268843668,0.12993226884366804,0.9987490048902536,1.0
