pair,fraction,C,tau_auroc,tau_ece
BRACS->CRC,0.01,0.01,0.7857142857142856,0.7142857142857142
BRACS->CRC,0.01,0.1,0.8571428571428571,0.7142857142857142
BRACS->CRC,0.01,10.0,0.7142857142857142,0.5714285714285714
BRACS->CRC,0.01,100.0,0.6428571428571428,-0.07142857142857142
BRACS->CRC,0.1,0.01,0.3571428571428571,0.42857142857142855
BRACS->CRC,0.1,0.1,0.5714285714285714,0.4999999999999999
BRACS->CRC,0.1,10.0,0.7857142857142856,0.42857142857142855
BRACS->CRC,0.1,100.0,0.6428571428571428,0.07142857142857142
BRACS->CRC,1.0,0.01,0.21428571428571427,0.42857142857142855
BRACS->CRC,1.0,0.1,0.6428571428571428,0.7857142857142856
BRACS->CRC,1.0,10.0,0.6428571428571428,0.21428571428571427
BRACS->CRC,1.0,100.0,0.21428571428571427,0.0
CRC->BRACS,0.01,0.01,0.7142857142857142,0.21428571428571427
CRC->BRACS,0.01,0.1,0.6428571428571428,0.7857142857142856
CRC->BRACS,0.01,10.0,0.7857142857142856,0.8571428571428571
CRC->BRACS,0.01,100.0,0.7857142857142856,0.8571428571428571
CRC->BRACS,0.1,0.01,0.4999999999999999,0.7857142857142856
CRC->BRACS,0.1,0.1,0.6428571428571428,0.8571428571428571
CRC->BRACS,0.1,10.0,0.7857142857142856,0.9285714285714285
CRC->BRACS,0.1,100.0,0.7857142857142856,0.7857142857142856
CRC->BRACS,1.0,0.01,0.4999999999999999,0.6428571428571428
CRC->BRACS,1.0,0.1,0.7142857142857142,0.8571428571428571
CRC->BRACS,1.0,10.0,0.9999999999999998,0.9285714285714285
CRC->BRACS,1.0,100.0,0.8571428571428571,0.6428571428571428
MHIST->PCam,0.01,0.01,0.9999999999999998,0.7142857142857142
MHIST->PCam,0.01,0.1,0.9999999999999998,0.7142857142857142
MHIST->PCam,0.01,10.0,0.7857142857142856,0.4999999999999999
MHIST->PCam,0.01,100.0,0.7142857142857142,0.21428571428571427
MHIST->PCam,0.1,0.01,0.8571428571428571,0.7857142857142856
MHIST->PCam,0.1,0.1,0.8571428571428571,0.7857142857142856
MHIST->PCam,0.1,10.0,0.7142857142857142,0.8571428571428571
MHIST->PCam,0.1,100.0,0.7142857142857142,0.7857142857142856
MHIST->PCam,1.0,0.01,0.6428571428571428,0.4999999999999999
MHIST->PCam,1.0,0.1,0.7142857142857142,0.6428571428571428
MHIST->PCam,1.0,10.0,0.7142857142857142,0.9285714285714285
MHIST->PCam,1.0,100.0,0.7142857142857142,0.5714285714285714
PCam->MHIST,0.01,0.01,0.9285714285714285,-0.07142857142857142
PCam->MHIST,0.01,0.1,0.9999999999999998,0.4999999999999999
PCam->MHIST,0.01,10.0,0.6428571428571428,0.6428571428571428
PCam->MHIST,0.01,100.0,0.3571428571428571,0.4999999999999999
PCam->MHIST,0.1,0.01,0.6428571428571428,0.42857142857142855
PCam->MHIST,0.1,0.1,0.7142857142857142,0.8571428571428571
PCam->MHIST,0.1,10.0,0.9285714285714285,0.7142857142857142
PCam->MHIST,0.1,100.0,0.8571428571428571,0.6428571428571428
PCam->MHIST,1.0,0.01,0.4999999999999999,0.3571428571428571
PCam->MHIST,1.0,0.1,0.8571428571428571,0.6428571428571428
PCam->MHIST,1.0,10.0,0.7857142857142856,0.7857142857142856
PCam->MHIST,1.0,100.0,0.7142857142857142,0.5714285714285714
