probe,model,dataset,fraction,seed,n_train,n_classes,trainable_params,trainable_pct,epochs,lr,lora_r,train_seconds,auroc,f1_macro,brier,ece_fixed,ece_adaptive,temperature,ece_scaled_fixed,ece_scaled_adaptive,degeneracy_share,degenerate
lora,H-Optimus-0,lunghist700,0.01,42,7,7,2976871,0.262,10,0.0001,8,7.1,0.6026836611357217,0.197407032988634,,0.0337051196167102,0.187333800471746,1.2792062924901848,0.0316722287008395,0.1642525551410821,0.3269230769230769,False
lora,H-Optimus-0,lunghist700,0.01,123,7,7,2976871,0.262,10,0.0001,8,7.1,0.4819105411208809,0.0810616929698708,,0.1373113233309525,0.160546380166824,2.713101079911984,0.0646095753002625,0.1271247829382236,0.2980769230769231,False
lora,H-Optimus-0,lunghist700,0.01,456,7,7,2976871,0.262,10,0.0001,8,7.0,0.538458879573087,0.1098794063079777,,0.1534516003269415,0.1980926129393852,9.999994569887027,0.0019800605682226,0.1124762842574944,0.4903846153846153,False
lora,H-Optimus-0,lunghist700,0.1,42,45,7,2976871,0.262,10,0.0001,8,21.0,0.6598360464264277,0.2367137624280481,,0.0574819017201662,0.1264518965035677,0.7066612871443082,0.0556517433948241,0.1220834362678802,0.5288461538461539,False
lora,H-Optimus-0,lunghist700,0.1,123,45,7,2976871,0.262,10,0.0001,8,20.8,0.5772737481706303,0.1562757505454359,,0.0526305144796004,0.1230261559383227,0.7880214760948835,0.0865573129401757,0.1197576249161591,0.375,False
lora,H-Optimus-0,lunghist700,0.1,456,45,7,2976871,0.262,10,0.0001,8,20.8,0.6131057332419564,0.1421790974529964,,0.0616157170958243,0.1524016587780072,1.7170898294668102,0.081092628578727,0.1362839236568946,0.25,False
lora,H-Optimus-0,lunghist700,1.0,42,483,7,2976871,0.262,10,0.0001,8,111.9,0.9559067390739544,0.6656129843241645,,0.1638140893326355,0.1665814005984709,0.5573516799478809,0.0568764364490142,0.0760714715489974,0.2403846153846154,False
lora,H-Optimus-0,lunghist700,1.0,123,483,7,2976871,0.262,10,0.0001,8,112.3,0.9591206292129444,0.7410529635899094,,0.1883051641858541,0.1929577213640396,0.5225958165062526,0.0766934847029355,0.0784214053016442,0.2403846153846154,False
lora,H-Optimus-0,lunghist700,1.0,456,483,7,2976871,0.262,10,0.0001,8,112.4,0.9634992538549476,0.7410340841191906,,0.2424201433761761,0.233270979558046,0.540895111659178,0.1002310990140988,0.1346308445701232,0.2307692307692307,False
lora,H-Optimus-0,mhist,0.01,42,18,2,2969186,0.261,10,0.0001,8,5.7,0.5105438501710786,0.3874303343949045,0.2401525793280965,0.1201030542442962,0.134535930478829,1.1180937035042493,0.1039972754239181,0.1244744434418917,0.9754350051177072,False
lora,H-Optimus-0,mhist,0.01,123,18,2,2969186,0.261,10,0.0001,8,5.8,0.5297564379614622,0.4027802136242046,0.2364404192783024,0.0725195876636305,0.0792733204980955,1.1691741172803003,0.0549559442206317,0.0657584157485434,0.9887410440122824,False
lora,H-Optimus-0,mhist,0.01,456,18,2,2969186,0.261,10,0.0001,8,5.8,0.5391455069331892,0.386691776522285,0.2436719715804498,0.1157387216235134,0.1017546249570719,1.461860247244985,0.0410754570514421,0.0600639098498325,0.9989764585465712,True
lora,H-Optimus-0,mhist,0.1,42,184,2,2969186,0.261,10,0.0001,8,26.5,0.7742053844768594,0.5142766942095115,0.1934985294592849,0.0932043335813277,0.0975111173341925,1.0849958006137044,0.0952534162293559,0.0975888940365556,0.9068577277379734,False
lora,H-Optimus-0,mhist,0.1,123,184,2,2969186,0.261,10,0.0001,8,26.2,0.7672947055645597,0.6016087899984922,0.1891235253364746,0.0748237432223747,0.0732423214121753,0.8334822033793653,0.0646127079715504,0.0715703849881856,0.8167860798362334,False
lora,H-Optimus-0,mhist,0.1,456,184,2,2969186,0.261,10,0.0001,8,26.4,0.7455767152890329,0.5108279392859559,0.1996927271992993,0.0915943808899382,0.0960364906592037,0.947231605234065,0.096289399302085,0.0975244148360792,0.9191402251791198,False
lora,H-Optimus-0,mhist,1.0,42,1849,2,2969186,0.261,10,0.0001,8,222.8,0.93087070052224,0.8448621285748876,0.101655277771987,0.032134171340809,0.0259888680872698,1.0186355332554344,0.0340484334966177,0.0264451902125225,0.6325486182190379,False
lora,H-Optimus-0,mhist,1.0,123,1849,2,2969186,0.261,10,0.0001,8,223.4,0.9314582207815596,0.8443743571539098,0.1014903789923669,0.02572053207605,0.0240006510757182,0.9762530541535782,0.0260265636407487,0.0225145727316891,0.6499488229273286,False
lora,H-Optimus-0,mhist,1.0,456,1849,2,2969186,0.261,10,0.0001,8,222.9,0.927876823338736,0.8418354498686909,0.1044428994882024,0.0280695598088242,0.0220449935700153,0.9931085035482388,0.0271182907640384,0.0219834166883511,0.6294779938587513,False
lora,UNI,lunghist700,0.01,42,7,7,1201159,0.394,10,0.0001,8,17.4,0.509473376262666,0.1504776293596169,,0.1002692871082287,0.1121745934853186,5.379368572665874,0.0092784120486332,0.0927836522459983,0.2211538461538461,False
lora,UNI,lunghist700,0.01,123,7,7,1201159,0.394,10,0.0001,8,12.0,0.5320572322541536,0.1874055177626606,,0.1266425955467499,0.1488998542324854,9.99999418665906,0.0171077950642659,0.0921501220705417,0.375,False
lora,UNI,lunghist700,0.01,456,7,7,1201159,0.394,10,0.0001,8,10.5,0.5767758180769925,0.158460611458961,,0.1089391646763453,0.160772550277985,1.7675921586924193,0.0573344606046493,0.1418732105252834,0.2692307692307692,False
