model,id_auroc_mean,ood_auroc_mean,drop_mean,drop_worst,ood_stability,cri
CLIP,0.8968443727127916,0.5748451618462522,0.3205345363882022,0.432647969970292,0.6433172163279651,0.5410434968184319
PLIP,0.9234964870802543,0.5426163529510578,0.36670475155899124,0.422270873459248,0.5973916810993802,0.5201926254306272
CONCH,0.946762140164216,0.4993144731920535,0.43088700011590264,0.6647159088312109,0.5417662718065763,0.48914768065996495
VIRCHOW2,0.9621941878418977,0.6624132926395729,0.2889092155636743,0.40122423853771916,0.7001132911857172,0.6424615055321471
UNI,0.9539960954612013,0.4889699158312117,0.4523890289708662,0.5366796906018353,0.521412355129204,0.4694275870880283
GigaPath,0.954034896782435,0.5698513688941385,0.37136478702012987,0.4002995056212691,0.6054585672566761,0.5516138912851429
H-Optimus-0,0.9536630528831253,0.5702831468972269,0.3703620314274572,0.425741297383621,0.6060713317422454,0.5534954551611343
MIDNIGHT,0.9197704171781992,0.4876879781272635,0.40820007265639713,0.5461291718653551,0.5501050832912475,0.4754749128210047
