dataset,0.01,0.05,0.1,0.25,0.5,1.0
BRACS,3.25,1.0,1.25,2.5,3.5,2.5
CRC,1.75,1.0,0.75,2.0,0.25,1.5
LungHist700,4.0,2.0,2.75,1.5,1.0,1.5
MHIST,3.75,2.5,3.25,2.75,1.75,1.5
PCam,3.5,2.75,1.75,1.25,1.25,1.5
SPIDER-Breast,1.5,1.5,1.75,1.75,2.0,2.25
