model,src,tgt,pair,fraction,seed,n_train,auroc,f1_macro,brier,ece_fixed,ece_adaptive,temperature_src,ece_scaled_fixed,ece_scaled_adaptive,temperature_oracle,ece_scaled_oracle,degeneracy_share,degenerate
CLIP,BRACS,CRC,BRACS->CRC,0.01,42,36,0.7304068880054395,0.4618254879448909,0.1666647595178769,0.215404732815681,0.215404732815681,1.176011834872306,0.1274376744725763,0.1373267486038808,0.6366026349602469,0.0634345920151038,1.0,True
CLIP,BRACS,CRC,BRACS->CRC,0.01,123,36,0.7447773800567297,0.4618254879448909,0.1656150183734406,0.2168218018267817,0.2168218018267818,1.0775549736460135,0.1125865972193369,0.1195155868544799,0.6121639014924931,0.0791193188407137,1.0,True
CLIP,BRACS,CRC,BRACS->CRC,0.01,456,36,0.5266452698519138,0.4618254879448909,0.1667510350615439,0.212187158282134,0.212187158282134,1.1199392182693355,0.1139538961290851,0.1139538961290851,0.6704092352894641,0.021873211457022,1.0,True
CLIP,BRACS,CRC,BRACS->CRC,0.05,42,181,0.5080332609802941,0.4564766318980081,0.1993366591067248,0.274484810865511,0.274484810865511,0.9989740506633288,0.1994784944945507,0.1994784944945507,0.4681323077271543,0.1144128227230046,0.9577333333333332,False
CLIP,BRACS,CRC,BRACS->CRC,0.05,123,181,0.5480676642079094,0.4635920745923954,0.1807384879764128,0.2416021138832463,0.2416021138832464,0.8529779530739914,0.1202713195216354,0.124474523391105,0.5737082852995874,0.101166120067974,0.9840666666666666,False
CLIP,BRACS,CRC,BRACS->CRC,0.05,456,181,0.433651596167236,0.4415934331211094,0.1965832378529027,0.2556147392643079,0.255614739264308,0.9553605716624328,0.1775567760601039,0.177523726030268,0.7363880235403786,0.1663963833466275,0.9148,False
CLIP,BRACS,CRC,BRACS->CRC,0.1,42,364,0.4759271961172353,0.4273590778541058,0.2272957700544322,0.3102315170641346,0.3102315170641345,0.9192721784740168,0.2634449435781524,0.2634449435781525,1.0759089403557298,0.2747367931266781,0.706,False
CLIP,BRACS,CRC,BRACS->CRC,0.1,123,364,0.4769551748973117,0.4101631252860709,0.2139563983036337,0.279717384001505,0.279717384001505,0.820664794833243,0.2250708214507673,0.2262858290271557,1.2196914704802284,0.2411603917769709,0.7116666666666667,False
CLIP,BRACS,CRC,BRACS->CRC,0.1,456,364,0.4846166067748613,0.4549149892964006,0.1962011213118223,0.2546946912404261,0.2546946912404261,0.8053835874847014,0.1745076838921202,0.178021686359095,0.8649414560980144,0.176135620860887,0.8576666666666667,False
CLIP,BRACS,CRC,BRACS->CRC,0.25,42,913,0.4727252674687028,0.4060483446727923,0.2411233021044645,0.3159799205878613,0.3159799205878613,0.8070307190754454,0.2888542200008155,0.289009953770356,2.7219871172662944,0.3257048671494189,0.5765333333333333,False
