model,src,tgt,pair,fraction,seed,n_train,n_val_full,n_val_prop,auroc,f1_macro,brier,ece_fixed,ece_adaptive,temperature_src,ece_scaled_fixed,ece_scaled_adaptive,temperature_prop,ece_scaled_prop,degeneracy_share,degenerate
CLIP,0,2,h0->h2,0.05,456,700,3000,150,0.8548826666666669,0.7759326802185902,0.1800775039432438,0.1504117815148618,0.1511348450895636,0.5830394191788822,0.0507863847445608,0.0502862249865262,0.5159806312168057,0.0651299328862826,0.5173333333333333,False
CLIP,0,2,h0->h2,0.1,42,1400,3000,300,0.9124542222222222,0.8402334792578695,0.1474670568477852,0.17012067458417,0.1666815661229647,0.7269131214365184,0.0367195765005471,0.0354193664114796,0.706276745549814,0.0320810571276498,0.525,False
CLIP,0,2,h0->h2,0.1,123,1400,3000,300,0.9260004444444444,0.8564052604207482,0.1410011829214487,0.1798777852481038,0.1802012620597722,0.7461444918989623,0.0437870686569032,0.0416981734933656,0.6199069738833223,0.0393568923915611,0.5426666666666666,False
CLIP,0,2,h0->h2,0.1,456,1400,3000,300,0.9057782222222222,0.8360301530863901,0.1501113755091291,0.1610809659630178,0.1673943652737174,0.7301458693534185,0.0349499725777116,0.0397580991611963,0.6939880425992062,0.0361866702235124,0.543,False
CLIP,0,2,h0->h2,0.25,42,3500,3000,750,0.938728,0.8735844580674965,0.1172154514968641,0.1398007117724196,0.139945249733713,0.9464598707977604,0.0445535218185666,0.045526157411495,1.0002054431265064,0.0472039889653671,0.5573333333333333,False
CLIP,0,2,h0->h2,0.25,123,3500,3000,750,0.9440066666666668,0.8837468264219857,0.1120815435265845,0.1422097885848026,0.1438282428695458,0.9503363328970524,0.046606799318756,0.0423500844576165,0.8709216189562028,0.0390774920451053,0.5466666666666666,False
CLIP,0,2,h0->h2,0.25,456,3500,3000,750,0.9420271111111111,0.8781415959044002,0.1146475704369554,0.1477503828179075,0.1461829384095586,0.954244345554829,0.0420202094680737,0.0382784188806009,0.8893080788234263,0.0348157723754495,0.5396666666666666,False
CLIP,0,2,h0->h2,0.5,42,7000,3000,1500,0.9617284444444444,0.9047650766073064,0.0914193719745688,0.1246808846263896,0.12678934083279,1.0649899277652914,0.0442525167762754,0.0456548487295656,1.0474231080329026,0.0461349712670726,0.5496666666666666,False
CLIP,0,2,h0->h2,0.5,123,7000,3000,1500,0.9559373333333332,0.8980682087442772,0.0952621761559093,0.1267279136466949,0.1252677577374706,1.080149618841975,0.045424103384759,0.0454022007018811,1.0826440553473191,0.0453200769895884,0.551,False
CLIP,0,2,h0->h2,0.5,456,7000,3000,1500,0.956724,0.9008222624746058,0.0949822877819128,0.1255305504039591,0.1270242999687219,1.0908378278089246,0.0383351443260879,0.0385693394882477,1.0790826402344549,0.0376850236764428,0.5423333333333333,False
CLIP,0,2,h0->h2,1.0,42,14000,3000,3000,0.9660262222222222,0.9111507382282522,0.0808790078005191,0.1028423313056232,0.1006110320334294,1.1772898861842764,0.0424573958176528,0.0412279682013177,1.1772898861842764,0.0424573958176528,0.5453333333333333,False
CLIP,0,2,h0->h2,1.0,123,14000,3000,3000,0.9660262222222222,0.9111507382282522,0.0808790078005191,0.1028423313056232,0.1006110320334294,1.1772898861842764,0.0424573958176528,0.0412279682013177,1.1772898861842764,0.0424573958176528,0.5453333333333333,False
CLIP,0,2,h0->h2,1.0,456,14000,3000,3000,0.9660262222222222,0.9111507382282522,0.0808790078005191,0.1028423313056232,0.1006110320334294,1.1772898861842764,0.0424573958176528,0.0412279682013177,1.1772898861842764,0.0424573958176528,0.5453333333333333,False
CLIP,0,3,h0->h3,0.01,42,140,3000,30,0.9327635555555556,0.8558584850637805,0.1849478752397458,0.249016870194603,0.2666793021248768,0.2719822327763007,0.0394424241465577,0.0346046033731773,0.3077506056190002,0.042082219964285,0.5313333333333333,False
CLIP,0,3,h0->h3,0.01,123,140,3000,30,0.948544,0.8818687430478309,0.1835046954056123,0.2778466518755255,0.2958194099078181,0.2310537733218016,0.0374127701606867,0.0341047871810426,0.1268651301017954,0.0623409221154437,0.5333333333333333,False
CLIP,0,3,h0->h3,0.01,456,140,3000,30,0.928116,0.8432695989027312,0.1827873256292022,0.249021976108542,0.2512194127672203,0.3230543061129692,0.0626308850600559,0.0626308850600559,0.3476882915212214,0.063152517187946,0.5503333333333333,False
CLIP,0,3,h0->h3,0.05,42,700,3000,150,0.952476,0.8895414680572947,0.1177564552855961,0.1821318789243049,0.1796083921835892,0.5764638559356456,0.0347335751750624,0.0295323998522196,0.5873089272826545,0.0354373844655496,0.5336666666666666,False
CLIP,0,3,h0->h3,0.05,123,700,3000,150,0.9565217777777776,0.900411010665602,0.1169156110486799,0.1858393964547348,0.1888938790633967,0.5885668628279898,0.0475833158122685,0.04471680366117,0.4908415250282471,0.0488768428428165,0.5506666666666666,False
CLIP,0,3,h0->h3,0.05,456,700,3000,150,0.9521595555555558,0.8901936474521867,0.1218331159856769,0.1872473137774014,0.1886396139139275,0.5830394191788822,0.0363610961530585,0.0339000511412763,0.5159806312168057,0.0358740822121284,0.5356666666666666,False
CLIP,0,3,h0->h3,0.1,42,1400,3000,300,0.9571222222222222,0.901550616721422,0.0990534514953827,0.14252662175501,0.1452981952026339,0.7269131214365184,0.0318340231320004,0.0271133713177311,0.706276745549814,0.0327668814150453,0.5343333333333333,False
CLIP,0,3,h0->h3,0.1,123,1400,3000,300,0.9542768888888892,0.9008543109179878,0.1009996044666202,0.1420241989797094,0.1441977824165556,0.7461444918989623,0.0379641770053329,0.0357858677297318,0.6199069738833223,0.0406460446928888,0.5383333333333333,False
CLIP,0,3,h0->h3,0.1,456,1400,3000,300,0.956136,0.8974943546768785,0.1022252424130333,0.1461979252280325,0.1474610869280349,0.7301458693534185,0.0391745928995832,0.0377171096733041,0.6939880425992062,0.0395420877738475,0.541,False
CLIP,0,3,h0->h3,0.25,42,3500,3000,750,0.9549906666666668,0.8944165982453554,0.0886011380580562,0.094100747160605,0.0924460481957244,0.9464598707977604,0.044914021044347,0.0441089379596556,1.0002054431265064,0.0435770664905988,0.5486666666666666,False
CLIP,0,3,h0->h3,0.25,123,3500,3000,750,0.954832,0.895011883049925,0.0893418030353849,0.0941442384873569,0.0939057261845598,0.9503363328970524,0.0486464594596532,0.0486464594596532,0.8709216189562028,0.0493026689409867,0.5553333333333333,False
CLIP,0,3,h0->h3,0.25,456,3500,3000,750,0.9562835555555556,0.8960110948248411,0.088728935698014,0.09472778256112,0.0929071154495638,0.954244345554829,0.0503137762318444,0.050073931144708,0.8893080788234263,0.0515241964105603,0.5556666666666666,False
CLIP,0,3,h0->h3,0.5,42,7000,3000,1500,0.9569377777777776,0.8996546335476413,0.0822761908533152,0.0705342527845318,0.0692579601038089,1.0649899277652914,0.0518786936213499,0.0518786936213499,1.0474231080329026,0.0520410462275324,0.5586666666666666,False
CLIP,0,3,h0->h3,0.5,123,7000,3000,1500,0.9564808888888888,0.8969371597755105,0.0838929903135428,0.0682277709751195,0.0702742351313204,1.080149618841975,0.055303434039253,0.055303434039253,1.0826440553473191,0.0552826012168048,0.562,False
CLIP,0,3,h0->h3,0.5,456,7000,3000,1500,0.9589048888888888,0.8999528763548048,0.0822553431599764,0.0722478356501678,0.0703271101629299,1.0908378278089246,0.05550182535707,0.0550713101853346,1.0790826402344549,0.0552247833041747,0.5616666666666666,False
CLIP,0,3,h0->h3,1.0,42,14000,3000,3000,0.9575035555555556,0.8961480531221692,0.0826513564368847,0.0610347366964388,0.0652209405716247,1.1772898861842764,0.0671672307076329,0.0671672307076329,1.1772898861842764,0.0671672307076329,0.5706666666666667,False
CLIP,0,3,h0->h3,1.0,123,14000,3000,3000,0.9575035555555556,0.8961480531221692,0.0826513564368847,0.0610347366964388,0.0652209405716247,1.1772898861842764,0.0671672307076329,0.0671672307076329,1.1772898861842764,0.0671672307076329,0.5706666666666667,False
CLIP,0,3,h0->h3,1.0,456,14000,3000,3000,0.9575035555555556,0.8961480531221692,0.0826513564368847,0.0610347366964388,0.0652209405716247,1.1772898861842764,0.0671672307076329,0.0671672307076329,1.1772898861842764,0.0671672307076329,0.5706666666666667,False
