model,dataset,fraction,C,auroc,ece
UNI,MHIST,0.01,1.0,0.6927846809532384,0.12066124456809334
UNI,MHIST,0.01,10.0,0.6908803049402725,0.10203376651838025
UNI,MHIST,0.01,100.0,0.6877168497508853,0.13176355932650555
UNI,MHIST,0.1,0.01,0.7940287532264841,0.08504491232488531
UNI,MHIST,0.1,0.1,0.7976018968725613,0.167115547967721
UNI,MHIST,0.1,1.0,0.8196950597274747,0.14239516223870144
UNI,MHIST,0.1,10.0,0.8546431358424876,0.06555062709014058
UNI,MHIST,0.1,100.0,0.8589246053184465,0.06178828312422646
UNI,MHIST,1.0,0.01,0.8100621285791464,0.1604733869185693
UNI,MHIST,1.0,0.1,0.8407482441923285,0.14932539386182464
UNI,MHIST,1.0,1.0,0.8856428957320367,0.0802746194612482
UNI,MHIST,1.0,10.0,0.9102242031334414,0.038989122394986656
UNI,MHIST,1.0,100.0,0.9081082297857014,0.05845829217765547
UNI,LungHist700,0.01,0.01,0.6761736593062245,0.21881231269768875
UNI,LungHist700,0.01,0.1,0.6764069246523615,0.23574757333282836
UNI,LungHist700,0.01,1.0,0.6790216163079822,0.2127451778827195
UNI,LungHist700,0.01,10.0,0.6896634106691414,0.10559152441864046
UNI,LungHist700,0.01,100.0,0.6984535881232176,0.11160285274291333
UNI,LungHist700,0.1,0.01,0.8403797441683919,0.03190490725156162
UNI,LungHist700,0.1,0.1,0.8444258986524363,0.032965668650268176
UNI,LungHist700,0.1,1.0,0.8682977164985148,0.17285965211949442
UNI,LungHist700,0.1,10.0,0.9008696251719814,0.19284378669388805
UNI,LungHist700,0.1,100.0,0.9024506517636901,0.10875393951444486
UNI,LungHist700,1.0,0.01,0.9014261931449655,0.02967470892906468
UNI,LungHist700,1.0,0.1,0.9272210904001229,0.2432566672906593
UNI,LungHist700,1.0,1.0,0.9634073153799294,0.3125866344121607
UNI,LungHist700,1.0,10.0,0.9814594826091879,0.13046311844360634
UNI,LungHist700,1.0,100.0,0.9830631145113156,0.07185107986428797
UNI,BRACS,0.01,0.01,0.7774905010508979,0.07354608706304683
UNI,BRACS,0.01,0.1,0.7785805967494556,0.06367565098117788
UNI,BRACS,0.01,1.0,0.785739829982184,0.10961498481087835
UNI,BRACS,0.01,10.0,0.7934624193896154,0.04238875334093361
UNI,BRACS,0.01,100.0,0.792568488221499,0.12512559211799404
UNI,BRACS,0.1,0.01,0.8379471940251645,0.05920068845287455
UNI,BRACS,0.1,0.1,0.8474765453913383,0.17022243183203575
