model,id_auroc,ood_auroc,drop_mean,drop_worst,ood_stability,cri
CLIP,0.9832038222222221,0.8845000444444447,0.09870377777777775,0.32295822222222226,0.8996281126351944,0.8718050586703356
PLIP,0.9945593777777777,0.9681168222222223,0.02644255555555549,0.08581155555555575,0.973410286044297,0.9579147860110709
CONCH,0.9964953777777777,0.9839836444444443,0.012511733333333297,0.04064711111111119,0.9874441640169257,0.974746506850226
VIRCHOW2,0.9988729777777777,0.9961733555555554,0.0026996222222222368,0.006016444444444491,0.9972700440337702,0.9896242105767545
UNI,0.9988700444444445,0.9947374666666668,0.0041325777777778405,0.011491999999999947,0.995862951026614,0.9888877428824179
GigaPath,0.9990298666666668,0.9921556444444445,0.006874222222222304,0.02658000000000038,0.9931191063280362,0.9869991601223214
H-Optimus-0,0.9991791111111112,0.9935437999999999,0.005635311111111113,0.019308444444444572,0.9943599482508564,0.9870647393030763
MIDNIGHT,0.9983769777777777,0.9933692888888889,0.005007688888888873,0.012153777777778152,0.9949843607904514,0.9864459800586496
