model,src,tgt,pair,fraction,seed,C,n_train,auroc,f1_macro,brier,ece_fixed,temperature_src,ece_scaled_fixed,degeneracy_share
CLIP,BRACS,CRC,BRACS->CRC,1.0,42,10.0,3657,0.6605240085141382,0.5313398616536731,0.1965256414473186,0.2172445371611825,1.5735573817421284,0.2030617913794759,0.6933333333333334
CLIP,BRACS,CRC,BRACS->CRC,1.0,42,100.0,3657,0.6141882611088005,0.4934520886665096,0.247475156966395,0.2304527448745411,2.3156045645592225,0.2161766777977296,0.6759333333333334
CLIP,BRACS,CRC,BRACS->CRC,1.0,123,0.01,3657,0.4710911908227685,0.4618254879448909,0.1771139963746494,0.2339191082145324,1.0857533835838522,0.1407344678469827,1.0
CLIP,BRACS,CRC,BRACS->CRC,1.0,123,0.1,3657,0.4713307531764464,0.4163887888471219,0.212613553634225,0.279743271280632,0.8137643402636556,0.2160373613604113,0.7342666666666666
CLIP,BRACS,CRC,BRACS->CRC,1.0,123,1.0,3657,0.5265005905456619,0.4407306637762812,0.2450487615280812,0.2999201632964709,1.1119655938234076,0.2876526874005073,0.5762666666666667
CLIP,BRACS,CRC,BRACS->CRC,1.0,123,10.0,3657,0.6605240085141382,0.5313398616536731,0.1965256414473186,0.2172445371611825,1.5735573817421284,0.2030617913794759,0.6933333333333334
CLIP,BRACS,CRC,BRACS->CRC,1.0,123,100.0,3657,0.6141882611088005,0.4934520886665096,0.247475156966395,0.2304527448745411,2.3156045645592225,0.2161766777977296,0.6759333333333334
CLIP,BRACS,CRC,BRACS->CRC,1.0,456,0.01,3657,0.4710911908227685,0.4618254879448909,0.1771139963746494,0.2339191082145324,1.0857533835838522,0.1407344678469827,1.0
CLIP,BRACS,CRC,BRACS->CRC,1.0,456,0.1,3657,0.4713307531764464,0.4163887888471219,0.212613553634225,0.279743271280632,0.8137643402636556,0.2160373613604113,0.7342666666666666
CLIP,BRACS,CRC,BRACS->CRC,1.0,456,1.0,3657,0.5265005905456619,0.4407306637762812,0.2450487615280812,0.2999201632964709,1.1119655938234076,0.2876526874005073,0.5762666666666667
CLIP,BRACS,CRC,BRACS->CRC,1.0,456,10.0,3657,0.6605240085141382,0.5313398616536731,0.1965256414473186,0.2172445371611825,1.5735573817421284,0.2030617913794759,0.6933333333333334
