probe,model,dataset,fraction,seed,n_train,n_classes,hidden,auroc,f1_macro,brier,ece_fixed,ece_adaptive,temperature,ece_scaled_fixed,ece_scaled_adaptive,degeneracy_share,forced_classes,degenerate
mlp,CLIP,BRACS,0.01,42,33,7,256,0.5584542666011106,0.0363159046160577,,0.0063454884708973,0.0634626587231954,0.6777159550356208,0.0108087587774845,0.0642213950554529,1.0,0,True
mlp,CLIP,BRACS,0.01,123,33,7,256,0.6519285285658671,0.0347787805414924,,0.026905580152545,0.0691012744840822,0.8576850649087436,0.0308910447254515,0.0714221005377016,1.0,0,True
mlp,CLIP,BRACS,0.01,456,33,7,256,0.669867177446796,0.0981154016999316,,0.0585670410541065,0.1057636115111802,0.963282144704562,0.0580802797225483,0.1055887861210003,0.6403508771929824,0,False
mlp,CLIP,BRACS,0.05,42,180,7,256,0.6558847410717029,0.0363716038562664,,0.008969672364101,0.1331922994371046,0.9035854395891404,0.0102460760296436,0.1335265394365578,0.9982456140350876,0,True
mlp,CLIP,BRACS,0.05,123,180,7,256,0.7655913087665456,0.4038325311755915,,0.0407778323742381,0.0485477863173735,1.169048189235166,0.0428105638215416,0.0490519451467614,0.231578947368421,0,False
mlp,CLIP,BRACS,0.05,456,180,7,256,0.6919802472683209,0.1438858672489252,,0.0986641216696354,0.1320652705535554,0.9474458742856868,0.0979429501713368,0.1314447933121731,0.5175438596491229,0,False
mlp,CLIP,BRACS,0.1,42,362,7,256,0.6642810482513448,0.0363159046160577,,0.0089899379433247,0.1266781692964989,0.8246316458633964,0.0115421194256397,0.1270190184576469,1.0,0,True
mlp,CLIP,BRACS,0.1,123,362,7,256,0.7980686611965587,0.4620943815302474,,0.0460721476036205,0.0613417083234117,1.1728393096747345,0.0323689783351463,0.0525800888475618,0.2105263157894736,0,False
mlp,CLIP,BRACS,0.1,456,362,7,256,0.6923782621175253,0.154315523910566,,0.1001352216590915,0.1367912071315865,0.996332883026694,0.1000862862457309,0.1367797491320392,0.5403508771929825,0,False
mlp,CLIP,BRACS,0.25,42,912,7,256,0.8352918417412705,0.4942545009602314,,0.053305986575913,0.0635101624748163,1.1559110709039184,0.0348312414267606,0.0400085979386379,0.2157894736842105,0,False
mlp,CLIP,BRACS,0.25,123,912,7,256,0.8250347836093191,0.4862063336685213,,0.0760491977919612,0.0808866279167041,1.1229462744617256,0.0653496827995568,0.0585842130476968,0.2052631578947368,0,False
mlp,CLIP,BRACS,0.25,456,912,7,256,0.8303928236352961,0.4901651446639828,,0.0504830517789773,0.0534607803612424,1.1350420266526764,0.0464555719965382,0.0484705166335691,0.2157894736842105,0,False
mlp,CLIP,BRACS,0.5,42,1826,7,256,0.8433984153054777,0.4968101387524662,,0.0699912396962182,0.0689250550772014,1.14213474852666,0.0407169920310639,0.0619264900684356,0.1947368421052631,0,False
mlp,CLIP,BRACS,0.5,123,1826,7,256,0.8446046563104257,0.4967505552282553,,0.0641396555199957,0.0592836917492381,1.105864281758482,0.0555295443848559,0.0491598312269177,0.2140350877192982,0,False
mlp,CLIP,BRACS,0.5,456,1826,7,256,0.8333712766238529,0.4988858413623383,,0.0417607561015246,0.0629632760558212,1.0965491301665495,0.0552327711331217,0.0547501924790834,0.2017543859649122,0,False
mlp,CLIP,BRACS,1.0,42,3657,7,256,0.8538362608482869,0.5237857368105016,,0.0573500159016826,0.0591091021111137,1.079988381265849,0.0420463975322873,0.0616049219641769,0.1912280701754386,0,False
mlp,CLIP,BRACS,1.0,123,3657,7,256,0.848897551391899,0.5341708617183316,,0.035432304520356,0.0558181834848303,1.0403480137919363,0.0503498126801691,0.0508019762081012,0.1964912280701754,0,False
mlp,CLIP,BRACS,1.0,456,3657,7,256,0.8500682873174871,0.515951556101932,,0.0436633166775368,0.052872835230409,1.0489227336913067,0.0283678451389597,0.0580321491810313,0.2017543859649122,0,False
mlp,CLIP,CRC,0.01,42,696,9,256,0.992555080205529,0.8972595985838482,,0.0392677951246499,0.0391040539820988,0.7546381138350424,0.0065217605074246,0.0047234311421712,0.1568,0,False
mlp,CLIP,CRC,0.01,123,696,9,256,0.99305225791274,0.9062850138974592,,0.0479742200881242,0.0472627972443898,0.7456681971793259,0.0053404213587443,0.0066371609648068,0.1443333333333333,0,False
mlp,CLIP,CRC,0.01,456,696,9,256,0.9913876667694044,0.8924085476358334,,0.0337727757672468,0.0319772831916809,0.8237224312485664,0.0068738768617312,0.0052114066600799,0.1486,0,False
