fraction,rho,ci_lo,ci_hi
0.01,-0.10495039682539685,-0.5396825396825398,0.357242063492063
0.05,0.24134325396825404,-0.21825396825396828,0.6507936507936508
0.1,0.33842460317460327,-0.07142857142857144,0.6984126984126985
0.25,0.36243055555555564,0.0,0.6587301587301588
0.5,0.4921626984126985,0.04751984126984129,0.7896825396825399
1.0,0.5178353174603176,0.2657738095238095,0.7222222222222224
