model,auroc,ece_scaled,ood_stability,cri_multiplicative,cri_arithmetic,cri_geometric,cri_worst_axis
CLIP,0.8968443727127916,0.06224385270982497,0.6433172163279651,0.5410434968184319,0.8259725787769772,0.8148494819419575,0.6433172163279651
PLIP,0.9234964870802543,0.057091018104655854,0.5973916810993802,0.5201926254306272,0.8212657166916596,0.80424443356621,0.5973916810993802
CONCH,0.946762140164216,0.04635408717208889,0.5417662718065763,0.48914768065996495,0.8140581082662345,0.7879161449007042,0.5417662718065763
VIRCHOW2,0.9621941878418977,0.04629060836659233,0.7001132911857172,0.6424615055321471,0.8720056235536742,0.8628772861325853,0.7001132911857172
UNI,0.9539960954612013,0.05628535775019123,0.521412355129204,0.4694275870880283,0.8063743642800714,0.7771822432820976,0.521412355129204
GigaPath,0.954034896782435,0.045037088461708584,0.6054585672566761,0.5516138912851429,0.8381521251924675,0.8201218792093793,0.6054585672566761
H-Optimus-0,0.9536630528831253,0.04237525391827238,0.6060713317422454,0.5534954551611343,0.8391197102356994,0.8210533039596657,0.6060713317422454
MIDNIGHT,0.9197704171781992,0.06027125345176643,0.5501050832912475,0.4754749128210047,0.8032014156725601,0.7805053227976803,0.5501050832912475
