probe,model,src,tgt,pair,fraction,seed,n_train,auroc,f1_macro,brier,ece_fixed,ece_adaptive,temperature_src,ece_scaled_fixed,ece_scaled_adaptive,degeneracy_share,degenerate
mlp,CLIP,BRACS,CRC,BRACS->CRC,0.01,42,36,0.7004807602443024,0.5580488116341549,0.1401163272308383,0.1219143239912887,0.1219143220861752,0.7679031909414645,0.087685317269961,0.0876853213662902,0.8702666666666666,False
mlp,CLIP,BRACS,CRC,BRACS->CRC,0.01,123,36,0.7534957959398964,0.6056514627873661,0.1598375287043182,0.2071514354596535,0.2071514379560947,0.6572206136773158,0.1680534746331473,0.1680534833749135,0.7724666666666666,False
mlp,CLIP,BRACS,CRC,BRACS->CRC,0.01,456,36,0.5742562614779646,0.4803501914810621,0.1601511743767096,0.1297586820671955,0.1286846284980575,1.0072994283742769,0.1297141571365296,0.1280622964640458,0.89,False
mlp,CLIP,BRACS,CRC,BRACS->CRC,0.05,42,181,0.6579920841472077,0.4717616866466781,0.2707469766465178,0.3485181529688338,0.3485181509534518,0.9924148034174006,0.3485844453240434,0.3485844462196032,0.528,False
mlp,CLIP,BRACS,CRC,BRACS->CRC,0.05,123,181,0.7900722615270308,0.6492049070318495,0.1415101812072225,0.1666658477738499,0.1666658435344696,0.9525138073865076,0.1621482467030485,0.1621397124310334,0.7864,False
mlp,CLIP,BRACS,CRC,BRACS->CRC,0.05,456,181,0.4510698456053121,0.3897824801364795,0.3421040169630231,0.3518737981796264,0.3523260683874289,0.9555985370076768,0.3551011376480261,0.3556154445856809,0.5072,False
mlp,CLIP,BRACS,CRC,BRACS->CRC,0.1,42,364,0.5836586457695668,0.4247303408321216,0.2830863927490575,0.3625883161832889,0.3625882892886797,0.8726620879864964,0.3654794404571255,0.3654794528166453,0.5694666666666667,False
mlp,CLIP,BRACS,CRC,BRACS->CRC,0.1,123,364,0.573616029079847,0.46553972414805,0.2497583010609294,0.2783160378739238,0.2783160298148791,0.9686369417961856,0.2775210098316272,0.2775210269123316,0.5919333333333333,False
mlp,CLIP,BRACS,CRC,BRACS->CRC,0.1,456,364,0.5065402859035407,0.4097752424123106,0.2906605813704222,0.3156707349850485,0.3154752944136659,0.9715119660173211,0.3183918829383949,0.3178085222646594,0.5074666666666666,False
mlp,CLIP,BRACS,CRC,BRACS->CRC,0.25,42,913,0.5179992483831548,0.4275341364923719,0.2855194627548492,0.3143610756039619,0.3143610749721527,0.9383043756037972,0.3142403228044509,0.3142403126090765,0.5234,False
mlp,CLIP,BRACS,CRC,BRACS->CRC,0.25,123,913,0.5712097453468974,0.474568119906143,0.2496401064207071,0.2514355091499785,0.2514355133304993,0.9960893129574976,0.2513017685794582,0.2513017673994104,0.6344666666666666,False
mlp,CLIP,BRACS,CRC,BRACS->CRC,0.25,456,913,0.4929593237580434,0.4202283010243295,0.2826809983209064,0.2875480311125516,0.285586118059357,0.8813772714979348,0.2965456767626107,0.296912612003088,0.5972666666666666,False
mlp,CLIP,BRACS,CRC,BRACS->CRC,0.5,42,1828,0.5389785327013931,0.4459397766714814,0.2646778078999086,0.281559308151404,0.2815593071609735,0.8783987217637845,0.281314211435616,0.2806182837049166,0.5777333333333333,False
mlp,CLIP,BRACS,CRC,BRACS->CRC,0.5,123,1828,0.5485506952200265,0.4548875825684034,0.2633452831155984,0.268807466694961,0.2688074576685826,0.976743707512556,0.2683084577297171,0.268308444664379,0.5991333333333333,False
mlp,CLIP,BRACS,CRC,BRACS->CRC,0.5,456,1828,0.5406203306880472,0.4545139398452386,0.2443486869524618,0.2437411805619796,0.2442287199432651,1.0219560134549182,0.2418010227620601,0.2424623061825831,0.645,False
mlp,CLIP,BRACS,CRC,BRACS->CRC,1.0,42,3657,0.5607324701105624,0.4650338619032762,0.2340693077829505,0.2293621780325969,0.2296356327200929,0.985955394936857,0.2299888337023556,0.2298360943784316,0.6620666666666667,False
