model,dataset,fraction,mean,std,min,max
CLIP,BRACS,0.01,0.012922079002224099,0.007750289287523642,0.0051742205795689,0.020674796869456
CLIP,BRACS,0.05,0.10526792203360737,0.023531062014455744,0.0877554294649352,0.1320157033428465
CLIP,BRACS,0.1,0.09901968974153404,0.010992704930902233,0.0894672622477185,0.111034888806111
CLIP,BRACS,0.25,0.07208588729318656,0.006191529101652147,0.0650517069264638,0.0767098932560517
CLIP,BRACS,0.5,0.04485583176168817,0.008440112889408047,0.0352801546555708,0.0512138013779026
CLIP,BRACS,1.0,0.0179655302594043,0.0,0.0179655302594043,0.0179655302594043
CLIP,CRC,0.01,0.009751370903058066,0.0042868015121251225,0.0054968006824243,0.0140696926133957
CLIP,CRC,0.05,0.0065104084039201,0.0011320898754082326,0.0054857919556386,0.007725744605054
CLIP,CRC,0.1,0.006379862922029033,0.0018091261046086337,0.0045111194612305,0.008122804792038
CLIP,CRC,0.25,0.0027949923104022664,0.00042397215307170706,0.0023723526930273,0.0032202845517747
CLIP,CRC,0.5,0.0039345371401922,0.0010529415701987465,0.0030660558384768,0.0051056571038825
CLIP,CRC,1.0,0.0032524842847108,0.0,0.0032524842847108,0.0032524842847108
CLIP,LungHist700,0.01,0.066105379351887,0.06295310398061112,0.0149574675054162,0.1364120038306968
CLIP,LungHist700,0.05,0.15515629094910666,0.03518914923553373,0.132510857616088,0.1956965449141379
CLIP,LungHist700,0.1,0.14857730210613637,0.01613726526285652,0.1342805375534843,0.1660752361920008
CLIP,LungHist700,0.25,0.15270041712175028,0.023070324766958042,0.1291653840220498,0.1752761040810602
CLIP,LungHist700,0.5,0.15114193894179626,0.00352622658457188,0.1472547022464627,0.154134993843801
CLIP,LungHist700,1.0,0.1755661617186266,0.0,0.1755661617186266,0.1755661617186266
CLIP,MHIST,0.01,0.0541943512030272,0.0012933736924792233,0.0530670440019319,0.0556063557711386
CLIP,MHIST,0.05,0.14257161571569163,0.012081353008593957,0.1335899468075436,0.1563067082923284
CLIP,MHIST,0.1,0.1760697094921154,0.005650708437784107,0.1697565164300782,0.1806539617484153
CLIP,MHIST,0.25,0.1549135887511819,0.008242824817804598,0.1481958872937815,0.1641118338255267
CLIP,MHIST,0.5,0.12704436063274013,0.0031266912163316783,0.1251162932569254,0.1306518986440835
CLIP,MHIST,1.0,0.1071567205503572,0.0,0.1071567205503572,0.1071567205503572
CLIP,PCam,0.01,0.015783874525792666,0.0018760520489951563,0.013860195965395,0.0176083648871006
CLIP,PCam,0.05,0.031147772224243697,0.0026684035910963617,0.0295721143565712,0.0342287113686907
CLIP,PCam,0.1,0.0353595796008293,0.0023786327921456554,0.0328050527360819,0.0375107356655289
CLIP,PCam,0.25,0.038881360000924466,0.0016469783651604317,0.0375904821591562,0.0407362465368504
CLIP,PCam,0.5,0.039283831040148,0.0008441677916037954,0.0384383082265467,0.0401266372530599
CLIP,PCam,1.0,0.0402332302290896,0.0,0.0402332302290896,0.0402332302290896
CLIP,SPIDER-Breast,0.01,0.05201586267441183,0.007279907723634943,0.0453948959744799,0.059811784289858
CLIP,SPIDER-Breast,0.05,0.029068855908687064,0.006561948532994475,0.0221769116664836,0.0352415471153268
CLIP,SPIDER-Breast,0.1,0.025781456469375397,0.004002552734344376,0.0216626125082441,0.0296565798871539
CLIP,SPIDER-Breast,0.25,0.027242491503539832,0.00413427068157581,0.022469317038084,0.0296983478511576
CLIP,SPIDER-Breast,0.5,0.029537951169969268,0.000572290158106481,0.0289301433444066,0.03006645085398
CLIP,SPIDER-Breast,1.0,0.0292889892167614,0.0,0.0292889892167614,0.0292889892167614
CONCH,BRACS,0.01,0.09037240591259954,0.015463910555989084,0.0726382079708282,0.1010439984981
CONCH,BRACS,0.05,0.06245570265569394,0.020971167432570905,0.0387143508358672,0.0784556671012185
CONCH,BRACS,0.1,0.0581321013578693,0.03953500019647802,0.026773155343554,0.1025427180803224
CONCH,BRACS,0.25,0.04183256550012867,0.012135665687717971,0.0285243983855666,0.0522871618809931
CONCH,BRACS,0.5,0.05961800540959647,0.02104114224341557,0.0355496785359754,0.074527303284315
CONCH,BRACS,1.0,0.024688774990619295,0.0,0.0246887749906193,0.0246887749906193
CONCH,CRC,0.01,0.004018157316016033,0.0016235528180461537,0.0021496793124593,0.0050847451585679
CONCH,CRC,0.05,0.0034590769439656333,5.5864019782048855e-05,0.0034142283692971,0.0035216539736578
CONCH,CRC,0.1,0.004136208931574933,0.0004793473220675098,0.0035866740410149,0.0044682686818895
CONCH,CRC,0.25,0.0032337388338019336,0.00042015903792161537,0.0027811961115251,0.0036114612779108
CONCH,CRC,0.5,0.0024116668951896336,0.0004420607769145139,0.0021164283106019,0.0029199014452226
CONCH,CRC,1.0,0.0019021640584426,0.0,0.0019021640584426,0.0019021640584426
CONCH,LungHist700,0.01,0.12599478322905466,0.007930474368808005,0.1181743190440164,0.1340308702223454
CONCH,LungHist700,0.05,0.1327447953796764,0.010411665827122552,0.1222785586106199,0.1431010184104332
CONCH,LungHist700,0.1,0.12994566256640325,0.015874342338562192,0.1177482776133873,0.1478939370993731
CONCH,LungHist700,0.25,0.13884539424679912,0.020003412589709113,0.1158186914266839,0.1519286925221059
CONCH,LungHist700,0.5,0.10722924681701336,0.021026977486119862,0.0894794814735045,0.130451364584408
CONCH,LungHist700,1.0,0.1038036298228543,0.0,0.1038036298228543,0.1038036298228543
CONCH,MHIST,0.01,0.08602222848108287,0.009816579762528635,0.074796093785446,0.0929938476610558
