model,hospital,fraction,seed,n_train,n_val_full,n_val_prop,auroc,f1_macro,brier,ece_fixed,ece_adaptive,temperature,ece_scaled_fixed,ece_scaled_adaptive,temperature_prop,ece_scaled_prop,degeneracy_share,forced_classes,degenerate
CLIP,0,0.01,42,140,3000,30,0.9386626666666666,0.8619925782675424,0.1810850062356078,0.2708591321289035,0.2772994828659188,0.2719822327763007,0.0281189630551906,0.03077653100802,0.3077506056190002,0.0326481445941625,0.5073333333333333,0,False
CLIP,0,0.01,123,140,3000,30,0.949783111111111,0.8792783915879938,0.1807696062592428,0.2791035963970927,0.2900405084170239,0.2310537733218016,0.0219104410475235,0.0204900865579617,0.1268651301017954,0.0607927631849222,0.5213333333333333,0,False
CLIP,0,0.01,456,140,3000,30,0.9302951111111112,0.8496437958173859,0.1776633289340814,0.2411420868243892,0.2484608926986647,0.3230543061129692,0.0286961769958538,0.0261406504894859,0.3476882915212214,0.027901567128802,0.5123333333333333,0,False
CLIP,0,0.05,42,700,3000,150,0.9606004444444444,0.9013013549723444,0.1117367749017629,0.189163818885667,0.1871576818901892,0.5764638559356456,0.0259673693137612,0.0185902501436589,0.5873089272826545,0.0260160908893964,0.518,0,False
CLIP,0,0.05,123,700,3000,150,0.9613613333333332,0.9035249018696918,0.1111929776640153,0.1886664039833959,0.188015570900514,0.5885668628279898,0.0251992923400636,0.0250949453032002,0.4908415250282471,0.0299220228593958,0.5383333333333333,0,False
CLIP,0,0.05,456,700,3000,150,0.9601377777777778,0.8963056699904053,0.1124186658511972,0.1843549953489996,0.1866079630077621,0.5830394191788822,0.020108278902157,0.018205330233681,0.5159806312168057,0.0272214634150704,0.5163333333333333,0,False
CLIP,0,0.1,42,1400,3000,300,0.9661328888888888,0.9083025127890209,0.091371361037683,0.1441437772521233,0.1429909510497783,0.7269131214365184,0.0191726223225025,0.0143149058047146,0.706276745549814,0.0209579278913638,0.5183333333333333,0,False
CLIP,0,0.1,123,1400,3000,300,0.9672657777777778,0.9105825745456616,0.0895426549285838,0.1417391144294113,0.141643736982292,0.7461444918989623,0.0213067734184919,0.0156818115284144,0.6199069738833223,0.0273587571494202,0.5306666666666666,0,False
CLIP,0,0.1,456,1400,3000,300,0.9670284444444444,0.9092655446135536,0.0905631635102436,0.1474872101664988,0.1440954296440592,0.7301458693534185,0.0220743532884933,0.0157018503800213,0.6939880425992062,0.0234450670776577,0.5273333333333333,0,False
CLIP,0,0.25,42,3500,3000,750,0.972384,0.91629158143434,0.0720209657208325,0.0949012717335625,0.0915286135949576,0.9464598707977604,0.0214691838996388,0.0174215511479829,1.0002054431265064,0.0193213858604636,0.5223333333333333,0,False
CLIP,0,0.25,123,3500,3000,750,0.9729191111111112,0.9196190722262104,0.0713385380741261,0.0942490584920635,0.0949417892649455,0.9503363328970524,0.0210372017868715,0.0138283676145926,0.8709216189562028,0.0236083932528165,0.5243333333333333,0,False
CLIP,0,0.25,456,3500,3000,750,0.9727906666666668,0.9186144352197588,0.0714904693602461,0.0957328221102384,0.0940531489276108,0.954244345554829,0.0176546347423113,0.01555519483885,0.8893080788234263,0.0240857066129233,0.5253333333333333,0,False
CLIP,0,0.5,42,7000,3000,1500,0.9779257777777776,0.925629572350031,0.0613706546426538,0.0710864435300375,0.0673382132186435,1.0649899277652914,0.0188906756325962,0.0164321614836692,1.0474231080329026,0.0203759155283434,0.5223333333333333,0,False
CLIP,0,0.5,123,7000,3000,1500,0.9773222222222222,0.9252971771670822,0.061737702175866,0.069711667714489,0.0687593854983948,1.080149618841975,0.0174539603013588,0.0138973614013751,1.0826440553473191,0.017240280173772,0.522,0,False
CLIP,0,0.5,456,7000,3000,1500,0.9774662222222222,0.9249530956848032,0.061518844795566,0.0695132671724343,0.068419530770226,1.0908378278089246,0.0192515476376325,0.0140538322637942,1.0790826402344549,0.0194369137427652,0.525,0,False
CLIP,0,1.0,42,14000,3000,3000,0.981684,0.9326278603142076,0.0538557688611192,0.0515254898162195,0.0496650074286349,1.1772898861842764,0.0165489916054943,0.0149059430648911,1.1772898861842764,0.0165489916054943,0.524,0,False
CLIP,0,1.0,123,14000,3000,3000,0.981684,0.9326278603142076,0.0538557688611192,0.0515254898162195,0.0496650074286349,1.1772898861842764,0.0165489916054943,0.0149059430648911,1.1772898861842764,0.0165489916054943,0.524,0,False
CLIP,0,1.0,456,14000,3000,3000,0.981684,0.9326278603142076,0.0538557688611192,0.0515254898162195,0.0496650074286349,1.1772898861842764,0.0165489916054943,0.0149059430648911,1.1772898861842764,0.0165489916054943,0.524,0,False
CLIP,1,0.01,42,140,3000,30,0.9311533333333334,0.8355438351445053,0.1682226732026175,0.2325410738923434,0.2278146565146468,0.4077324807476736,0.0464768936444105,0.0441462590365462,0.3983010311717537,0.0486194823215978,0.5526666666666666,0,False
CLIP,1,0.01,123,140,3000,30,0.9523524444444444,0.8786653185035389,0.1755544095361134,0.2672238269782607,0.2812789271077544,0.2649667825428228,0.0200333391712574,0.0106070227065099,0.3265682210715613,0.0269648559967424,0.5033333333333333,0,False
CLIP,1,0.01,456,140,3000,30,0.9362395555555556,0.8459062425093312,0.1705994569913488,0.2418362754698406,0.2445440707712692,0.3474604765641637,0.0247072487694917,0.0245398314051621,0.4165451031348957,0.0279972369194767,0.5246666666666666,0,False
CLIP,1,0.05,42,700,3000,150,0.9584097777777778,0.8843322923239643,0.1102327621249512,0.1609128429643357,0.1603365987334564,0.6734213192094113,0.0132553481305528,0.0125580456166255,0.8358625563748917,0.0310030100570515,0.503,0,False
CLIP,1,0.05,123,700,3000,150,0.9571413333333334,0.8793314026357755,0.1113780328276281,0.1574746345676293,0.1600164936364727,0.6658079590141182,0.0196014454420177,0.0147320180431065,0.4943272614543248,0.0368474069655949,0.504,0,False
CLIP,1,0.05,456,700,3000,150,0.9494324444444444,0.8692258660561502,0.1140743470241222,0.1450870991776674,0.1456926931852891,0.7564509869005432,0.0301264054046418,0.0312693162836193,0.7177683380998878,0.0311242155233976,0.5286666666666666,0,False
CLIP,1,0.1,42,1400,3000,300,0.9631484444444444,0.8949973749343734,0.0936214860828523,0.1247577497391802,0.1244968970666765,0.8426610468333561,0.0141721127442747,0.0097846503027943,0.9254043666194078,0.0157642872005195,0.505,0,False
CLIP,1,0.1,123,1400,3000,300,0.9632977777777776,0.8959988444316048,0.0945564083773663,0.1279500422865707,0.1272265376039286,0.8134334833587875,0.0130443995496884,0.0157181985572,0.840815478023709,0.0128336037891668,0.5033333333333333,0,False
CLIP,1,0.1,456,1400,3000,300,0.9604546666666668,0.8873020283412059,0.0960647677208474,0.1215173343122206,0.1203809581808678,0.8539612523566672,0.0217220443930884,0.0233303150704717,0.8095568048321717,0.0213718590069411,0.5166666666666667,0,False
CLIP,1,0.25,42,3500,3000,750,0.9677075555555554,0.9036657996588636,0.0787781758738321,0.085722275163947,0.0853491767052453,1.06380819619836,0.0153622250703832,0.0158737273103433,1.106501712096041,0.0159830226432596,0.503,0,False
CLIP,1,0.25,123,3500,3000,750,0.9688142222222222,0.908329656333993,0.0778141419788417,0.0880723606577882,0.0853972300836446,1.044478274272527,0.0134921033122337,0.0121223953673582,1.0698638463579486,0.0117661717099438,0.5063333333333333,0,False
CLIP,1,0.25,456,3500,3000,750,0.968168,0.905995822036535,0.0785153298319046,0.0860470597232588,0.087549040968423,1.0476793925899313,0.0164446903766929,0.0113658100099948,1.0422655052995446,0.0163637416847136,0.5066666666666667,0,False
